"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"1","Athmar Park",11.5152517437935,11.9506397581416,0.477355896497202,11.4443313838522,10.138410578119,12.9156643542438,14.9190658677124,12.0882244077965,9.11467824111758,14.9768814648113,11.7675113885587,9.11467824111758,13.2138826150423,7.90559418324404
"2","Auraria",14.7475767639012,18.1552001198846,0.435812838890248,15.1963647014478,15.9760525139759,16.9842994801712,35.2886779780091,35.537021144897,31.0408320695692,34.6328046668177,36.4217562614428,31.0408320695692,24.9663560275439,19.87544411455
"3","Baker",13.9696106231757,16.6131708598662,0.465503553286042,14.3395213202318,13.2722465020154,18.0553626602804,21.4690202586357,20.800481615624,21.5312383601826,20.9932518866167,19.318622935985,21.5312383601826,17.692851022165,15.3958357334829
"4","Barnum",9.03596512000564,12.4732943754011,0.460405529754881,9.21892212089573,9.98870445150457,17.8716085374422,14.4243316445608,14.1116810235263,10.1385345940243,14.3704967281564,14.1884231790356,10.1385345940243,11.7624289034046,9.65227081381141
"5","Barnum West",7.97958659027397,11.3636741243991,0.454363699485694,8.01523504401303,8.65760490042506,12.8161437861273,12.2199596874304,12.1178805423444,8.2857010732142,12.252941553927,12.1444446351962,8.2857010732142,10.1169307189111,7.46047740801036
"6","Bear Valley",4.45985245184551,6.79770190758957,0.504423212238896,4.63507009415561,5.7325171632324,5.39082113140986,6.28930360224146,6.21478961522938,4.438879377843,6.56887105736737,6.21505322571983,4.438879377843,5.48827430140249,3.69325077483369
"7","Belcaro",13.3208602621155,14.9332577492168,0.454115544263077,16.3735363911438,16.2163720734136,5.0071308401805,16.6262426849968,12.8660722812035,7.02469448825986,17.0324755553051,12.7707355810697,7.02469448825986,15.8382787233903,4.87765884024083
"8","Berkeley",7.75676757164399,12.1495513048173,0.405825862443537,8.85075364597042,12.4722788801156,8.41917713476037,10.9108587250929,11.2912778762973,6.49122981894671,10.8269544819948,11.3451413020208,6.49122981894671,9.58633360617553,5.45186565877433
"9","Capitol Hill",15.4398825937573,18.0474389874271,0.446890121305985,17.3449715018309,15.2186019050936,16.1186713994088,25.362624883549,24.0853039406901,18.8364926751749,24.933328929233,23.875982074393,18.8364926751749,20.7702019770926,13.5596367177662
"10","CBD",16.567102185066,21.0280408315693,0.43742679979847,18.9822916128072,20.66369739588,14.4701111474467,42.1153695255089,42.9306973200092,40.6616178196659,40.5887558067739,43.9940130569048,40.6616178196659,29.563379782539,24.0576933966443
"11","Chaffee Park",7.66001628348008,12.157647644271,0.399140559188687,10.9595822321646,18.6496683833874,7.12218138752329,11.6237997021519,12.0216443188298,7.81821633189316,11.5628593479816,12.1348270514044,7.81821633189316,10.4515643914446,5.78943865262458
"12","Cheesman Park",11.0621461079934,14.584546198515,0.436250574073779,16.7480541007698,17.9151937953292,9.28767353212002,18.5570893581622,18.8567178475406,12.5255992628697,18.5590155054324,18.9353839350387,12.5255992628697,16.2315762680895,8.6937806579833
"13","Cherry Creek",19.0365186031206,20.3165004190221,0.437658635021399,21.1182727977574,17.6387723872176,6.44501510635984,20.6369148729254,16.6336561870528,9.50694122030189,20.6230592859574,16.2217114376182,9.50694122030189,20.3536913899402,6.47413904549626
