GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD43,"Estimate; Total: - Car, truck, or van: - Carpooled: - 25 to 29 minutes"
HD02_VD43,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 25 to 29 minutes"
HD01_VD44,"Estimate; Total: - Car, truck, or van: - Carpooled: - 30 to 34 minutes"
HD02_VD44,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 30 to 34 minutes"
HD01_VD45,"Estimate; Total: - Car, truck, or van: - Carpooled: - 35 to 44 minutes"
HD02_VD45,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 35 to 44 minutes"
HD01_VD46,"Estimate; Total: - Car, truck, or van: - Carpooled: - 45 to 59 minutes"
HD02_VD46,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 45 to 59 minutes"
HD01_VD47,"Estimate; Total: - Car, truck, or van: - Carpooled: - 60 or more minutes"
HD02_VD47,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 60 or more minutes"
HD01_VD48,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool:"
HD02_VD48,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool:"
HD01_VD49,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - Less than 10 minutes"
HD02_VD49,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - Less than 10 minutes"
HD01_VD50,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 10 to 14 minutes"
HD02_VD50,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 10 to 14 minutes"
HD01_VD51,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 15 to 19 minutes"
HD02_VD51,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 15 to 19 minutes"
HD01_VD52,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 20 to 24 minutes"
HD02_VD52,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 20 to 24 minutes"
HD01_VD53,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 25 to 29 minutes"
HD02_VD53,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 25 to 29 minutes"
HD01_VD54,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 30 to 34 minutes"
HD02_VD54,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 30 to 34 minutes"
HD01_VD55,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 35 to 44 minutes"
HD02_VD55,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 35 to 44 minutes"
HD01_VD56,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 45 to 59 minutes"
