"","X","Id","Id2","Geography","TTL_population","Male","Female","Total","Age_Less_5","Age_5_to_9","Age_10_to_14","Age_15_to_17","Age_Less_18","Age_0_to_9","Age_10_to_19","Age_20_to_29","Age_30_to_39","Age_40_to_49","Age_50_to_59","Age_60_to_69","Age_70_to_79","Age_80_and_over","PCT_Less_18","White","Black","AmericanIndian","Asian","PacificIslanders","OtherRaces","Two.or.more.races","PCT_White","PCT_African","PCT_AmericanIndian","PCT_Asian","PCT_PacificIslander","PCT_OtherRaces","PCT_Two.or.more.races","Hispanic","PCT_Hispanic","TTPOP_25PLUS_EDU","LESS_THAN_HS_DIPLOMA","HSGREAD_OR_EQUIV_EDU","SOMECOLLEGE_OR_AA_EDU","BACHELORS_OR_HIGHER_EDU","Median_HH_income","Native","PCT_Housing_rent","PCT_Vehicle_none","PCT_Vehicle_own","TTPOP_18PLUS_LNG","LNG_English","LNG_Spanish","LNG_Spanish_English_bad","LNG_IndoEuropean","LNG_IndoEuropean_English_bad","LNG_AsianPacific","LNG_AsianPacific_English_bad","LNG_Others","LNG_Others_English_bad","TTL_HH_Children_under_18","Poverty_HH","Poverty_PCT_HH","MarriedCouple_HH","SingleDad_HH","SingleMom_HH","PCT_MarriedCouple_HH","PCT_SingleDad_HH","PCT_SingleMom_HH"
"11",11,"1500000US080310003012",80310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",46,334,478,812,112,37,17,0,166,149,17,86,183,165,0,167,45,0,20.4433497536946,793,0,0,0,0,19,0,97.6600985221675,0,0,0,0,2.33990147783251,0,133,289.130434782609,646,29,17,115,485,"81310",778,20.6989247311828,4.56989247311828,95.4301075268817,646,572,74,0,0,0,196,166,0,0,91,0,0,74,0,17,81.3186813186813,0,18.6813186813187
"12",12,"1500000US080310003013",80310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",58,534,679,1213,87,0,49,129,265,87,195,173,227,132,300,74,0,25,21.8466611706513,1169,12,0,32,0,0,0,96.3726298433636,0.989282769991756,0,2.63808738664468,0,0,0,449,774.137931034483,895,79,208,189,419,"63594",1152,29.0909090909091,15.7575757575758,84.2424242424242,948,870,53,25,0,0,117,39,0,25,117,0,0,84,0,33,71.7948717948718,0,28.2051282051282
"13",13,"1500000US080310003014",80310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",56,567,750,1317,18,51,17,54,140,69,71,202,185,299,157,80,117,137,10.6302201974184,952,0,0,45,0,304,32,72.285497342445,0,0,3.41685649202733,0,23.0827638572513,2.42976461655277,488,871.428571428571,1078,276,186,105,511,"57609",1143,44.5054945054945,26.6483516483516,73.3516483516484,1177,851,285,13,28,0,456,284,65,0,117,0,0,38,0,79,32.4786324786325,0,67.5213675213675
"14",14,"1500000US080310003015",80310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",40,450,330,780,48,16,50,0,114,64,50,75,150,172,94,175,0,0,14.6153846153846,743,0,0,37,0,0,0,95.2564102564102,0,0,4.74358974358974,0,0,0,218,545,666,112,14,132,408,"68843",668,16.2303664921466,0,100,666,535,112,19,0,0,81,93,69,0,56,0,0,56,0,0,100,0,0
"15",15,"1500000US080310003016",80310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",47,357,467,824,19,36,13,0,68,55,13,186,232,118,90,107,0,23,8.25242718446602,662,0,0,0,0,144,36,80.3398058252427,0,0,0,0,17.4757281553398,4.36893203883495,184,391.489361702128,753,3,158,65,527,"74333",801,45.273631840796,4.72636815920398,95.273631840796,756,669,71,16,0,0,117,46,16,0,57,0,0,57,0,0,100,0,0
"16",16,"1500000US080310003021",80310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",36,372,399,771,175,0,0,0,175,175,0,10,258,67,147,26,88,0,22.6977950713359,734,16,0,0,0,0,42,95.201037613489,2.07522697795071,0,0,0,0,5.44747081712062,71,197.222222222222,586,29,117,37,403,"140385",771,27.247191011236,0,100,596,525,71,0,0,0,114,43,71,0,101,0,0,101,0,0,100,0,0
"17",17,"1500000US080310003022",80310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",50,449,487,936,28,58,22,132,240,86,154,244,200,59,118,14,48,13,25.6410256410256,706,215,15,0,0,0,0,75.4273504273504,22.9700854700855,1.6025641025641,0,0,0,0,61,122,606,52,13,77,464,"100750",936,37.6470588235294,0,100,696,592,18,0,26,60,93,75,0,0,91,52,57.1428571428571,39,0,52,42.8571428571429,0,57.1428571428571
"18",18,"1500000US080310003023",80310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",45,351,433,784,57,43,31,0,131,100,60,30,206,176,47,77,55,33,16.7091836734694,634,0,0,28,0,98,48,80.8673469387755,0,0,3.57142857142857,0,12.5,6.12244897959184,172,382.222222222222,624,30,84,208,302,"84750",760,22.0512820512821,0,100,653,653,0,0,0,0,134,134,0,0,96,28,29.1666666666667,68,0,28,70.8333333333333,0,29.1666666666667
"19",19,"1500000US080310003024",80310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",43,408,371,779,38,59,66,28,191,97,121,38,145,99,176,18,44,41,24.5186136071887,718,21,0,0,0,0,80,92.1694480102696,2.69576379974326,0,0,0,0,10.2695763799743,55,127.906976744186,561,23,18,155,365,"94688",737,20.6686930091185,0,100,588,523,57,8,0,0,119,62,31,0,131,0,0,77,54,0,58.7786259541985,41.2213740458015,0
"20",20,"1500000US080310003025",80310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",79,633,670,1303,34,41,31,44,150,75,97,390,216,308,69,115,17,16,11.5118956254797,1256,11,0,5,0,13,36,96.392939370683,0.844205679201842,0,0.383729854182655,0,0.997697620874904,2.76285495011512,119,150.632911392405,1033,17,74,243,699,"70797",1233,55.5720653789004,2.37741456166419,97.6225854383358,1153,1136,2,15,0,0,115,113,15,0,121,0,0,70,0,51,57.8512396694215,0,42.1487603305785
