"X","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","lat","long","NBHD_Name"
8941,2328,924,"39505","80210","1855 S Pearl Street",32,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,scholarshipsAvailable,nature","2019-07-25","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8942,2329,924,"39505","80210","1855 S Pearl Street",32,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,scholarshipsAvailable,nature","2019-07-26","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8943,233,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-03","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8944,2330,924,"39506","80210","1855 S Pearl Street",30,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-22","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8945,2331,924,"39506","80210","1855 S Pearl Street",30,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-23","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8946,2332,924,"39506","80210","1855 S Pearl Street",30,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-24","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8947,2333,924,"39506","80210","1855 S Pearl Street",30,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-25","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8948,2334,924,"39506","80210","1855 S Pearl Street",30,"275","2019-07-22 00:00:00","2019-07-26 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-26","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8949,2335,924,"39507","80210","1855 S Pearl Street",32,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-29","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8950,2336,924,"39507","80210","1855 S Pearl Street",32,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-30","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8951,2337,924,"39507","80210","1855 S Pearl Street",32,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-07-31","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8952,2338,924,"39507","80210","1855 S Pearl Street",32,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-01","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8953,2339,924,"39507","80210","1855 S Pearl Street",32,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-02","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8954,234,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-04","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8955,2340,924,"39508","80210","1855 S Pearl Street",30,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","offersBeforeAfterCare,nature,scholarshipsAvailable","2019-07-29","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8956,2341,924,"39508","80210","1855 S Pearl Street",30,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","offersBeforeAfterCare,nature,scholarshipsAvailable","2019-07-30","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8957,2342,924,"39508","80210","1855 S Pearl Street",30,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","offersBeforeAfterCare,nature,scholarshipsAvailable","2019-07-31","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8958,2343,924,"39508","80210","1855 S Pearl Street",30,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","offersBeforeAfterCare,nature,scholarshipsAvailable","2019-08-01","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8959,2344,924,"39508","80210","1855 S Pearl Street",30,"275","2019-07-29 00:00:00","2019-08-02 00:00:00","offersBeforeAfterCare,nature,scholarshipsAvailable","2019-08-02","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8960,2345,924,"39509","80210","1855 S Pearl Street",32,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","nature,offersBeforeAfterCare,scholarshipsAvailable","2019-08-05","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
