"X","camp_address_1","camp_zip","session_date_start","session_date_end","total.duration","lat","long","session_id","session_size","session_cost","session_categories","NBHD_Name"
47,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37983","28",250,"arts,drama,specialNeedsStudent,academic,offersBeforeAfterCare","CBD"
48,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37984","28",250,"specialNeedsStudent,arts,drama,academic,offersBeforeAfterCare","CBD"
49,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37985","32",250,"arts,drama,academic,specialNeedsStudent,offersBeforeAfterCare","CBD"
50,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37986","16",250,"academic,drama,specialNeedsStudent,offersBeforeAfterCare,arts","CBD"
51,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37987","28",250,"academic,arts,offersBeforeAfterCare,drama,specialNeedsStudent","CBD"
52,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37988","20",250,"drama,academic,offersBeforeAfterCare,specialNeedsStudent,arts","CBD"
53,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37989","24",250,"specialNeedsStudent,offersBeforeAfterCare,drama,arts,academic","CBD"
54,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37990","28",250,"offersBeforeAfterCare,specialNeedsStudent,arts,academic,drama","CBD"
55,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37991","32",250,"arts,academic,drama,offersBeforeAfterCare,specialNeedsStudent","CBD"
56,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37992","16",250,"specialNeedsStudent,offersBeforeAfterCare,academic,drama,arts","CBD"
57,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37993","20",250,"drama,academic,offersBeforeAfterCare,arts,specialNeedsStudent","CBD"
58,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37994","24",250,"academic,specialNeedsStudent,drama,arts,offersBeforeAfterCare","CBD"
59,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37995","28",250,"academic,offersBeforeAfterCare,arts,drama,specialNeedsStudent","CBD"
60,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37996","28",250,"arts,offersBeforeAfterCare,drama,specialNeedsStudent,academic","CBD"
61,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37997","32",250,"arts,offersBeforeAfterCare,specialNeedsStudent,academic,drama","CBD"
62,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37998","32",250,"drama,offersBeforeAfterCare,specialNeedsStudent,arts,academic","CBD"
63,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"37999","20",500,"arts,drama,specialNeedsStudent,offersBeforeAfterCare,academic","CBD"
64,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"38000","24",500,"drama,offersBeforeAfterCare,specialNeedsStudent,academic,arts","CBD"
65,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"38001","28",500,"drama,arts,specialNeedsStudent,academic,offersBeforeAfterCare","CBD"
66,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"38002","28",500,"academic,arts,offersBeforeAfterCare,specialNeedsStudent,drama","CBD"
67,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"38003","32",500,"specialNeedsStudent,academic,arts,offersBeforeAfterCare,drama","CBD"
68,"1101 13th Street","80204","7/8/2019","7/19/2019",65,39.7453568,-104.9992014,"38004","16",500,"academic,drama,arts,offersBeforeAfterCare,specialNeedsStudent","CBD"
69,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38005","20",500,"arts,specialNeedsStudent,academic,offersBeforeAfterCare,drama","CBD"
70,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38006","24",500,"academic,arts,offersBeforeAfterCare,specialNeedsStudent,drama","CBD"
71,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38007","28",500,"arts,academic,specialNeedsStudent,drama,offersBeforeAfterCare","CBD"
72,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38008","28",500,"drama,specialNeedsStudent,academic,arts,offersBeforeAfterCare","CBD"
73,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38009","32",500,"specialNeedsStudent,academic,offersBeforeAfterCare,arts,drama","CBD"
74,"1101 13th Street","80204","7/22/2019","8/2/2019",65,39.7453568,-104.9992014,"38010","16",500,"offersBeforeAfterCare,specialNeedsStudent,arts,drama,academic","CBD"
75,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38011","16",250,"specialNeedsStudent,drama,arts,offersBeforeAfterCare,academic","CBD"
76,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38012","16",250,"academic,drama,specialNeedsStudent,offersBeforeAfterCare,arts","CBD"
77,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38013","16",250,"arts,offersBeforeAfterCare,specialNeedsStudent,drama,academic","CBD"
78,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38014","16",250,"drama,offersBeforeAfterCare,specialNeedsStudent,academic,arts","CBD"
79,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38015","16",250,"academic,arts,specialNeedsStudent,drama,offersBeforeAfterCare","CBD"
80,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"38016","16",250,"offersBeforeAfterCare,drama,specialNeedsStudent,arts,academic","CBD"
81,"1101 13th Street","80204","7/8/2019","7/12/2019",35,39.7453568,-104.9992014,"38017","28",250,"specialNeedsStudent,arts,academic,drama","CBD"
82,"1101 13th Street","80204","7/22/2019","7/26/2019",35,39.7453568,-104.9992014,"38018","42",250,"specialNeedsStudent,academic,arts,drama","CBD"
83,"1101 13th Street","80204","7/15/2019","7/19/2019",35,39.7453568,-104.9992014,"38019","28",250,"drama,academic,arts,specialNeedsStudent","CBD"
84,"1101 13th Street","80204","6/3/2019","6/7/2019",35,39.7453568,-104.9992014,"38020","42",250,"academic,drama,specialNeedsStudent,arts","CBD"
85,"1101 13th Street","80204","6/10/2019","6/21/2019",70,39.7453568,-104.9992014,"38021","28",500,"academic,drama,arts,specialNeedsStudent","CBD"
86,"1101 13th Street","80204","6/10/2019","6/21/2019",65,39.7453568,-104.9992014,"38022","16",500,"arts,academic,drama,specialNeedsStudent","CBD"
87,"1101 13th Street","80204","6/24/2019","7/12/2019",97.5,39.7453568,-104.9992014,"38023","16",500,"specialNeedsStudent,arts,drama,academic","CBD"
88,"1101 13th Street","80204","6/24/2019","6/28/2019",35,39.7453568,-104.9992014,"38024","28",250,"academic,arts,drama,specialNeedsStudent","CBD"
89,"1101 13th Street","80204","7/29/2019","8/2/2019",35,39.7453568,-104.9992014,"38025","14",250,"academic,drama,specialNeedsStudent,arts","CBD"
90,"1101 13th Street","80204","6/17/2019","6/21/2019",15,39.7453568,-104.9992014,"38026","16",175,"specialNeedsStudent,academic,drama,arts","CBD"
91,"1101 13th Street","80204","6/24/2019","6/28/2019",15,39.7453568,-104.9992014,"38027","16",175,"specialNeedsStudent,drama,academic,arts","CBD"
92,"1101 13th Street","80204","7/8/2019","7/12/2019",15,39.7453568,-104.9992014,"38028","16",175,"specialNeedsStudent,arts,drama,academic","CBD"
93,"1101 13th Street","80204","7/15/2019","7/19/2019",15,39.7453568,-104.9992014,"38029","16",175,"academic,arts,drama,specialNeedsStudent","CBD"
94,"1101 13th Street","80204","7/22/2019","7/26/2019",15,39.7453568,-104.9992014,"38030","16",175,"specialNeedsStudent,arts,academic,drama","CBD"
95,"1101 13th Street","80204","7/29/2019","8/2/2019",15,39.7453568,-104.9992014,"38031","16",175,"arts,drama,specialNeedsStudent,academic","CBD"
96,"1 Red Fox Lane","80111","7/1/2019","7/2/2019",14,39.6214415,-104.9138135,"38106"," ",165,"giftedStudent,stem,academic",NA
97,"1 Red Fox Lane","80111","7/29/2019","7/30/2019",14,39.6214415,-104.9138135,"38107"," ",165,"stem,giftedStudent,academic",NA
98,"5105 W Moncrieff Pl","80212","6/3/2019","6/7/2019",35,39.7632048,-105.0527962,"38149"," ",280,"specialNeedsStudent,academic","West Highland"
99,"5105 W Moncrieff Pl","80212","6/10/2019","6/14/2019",35,39.7632048,-105.0527962,"38150"," ",280,"specialNeedsStudent,academic","West Highland"
100,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38165"," ",405,"music,arts,offersBeforeAfterCare,sports,scholarshipsAvailable","Washington Virginia Vale"
101,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38166"," ",405,"arts,music,scholarshipsAvailable,offersBeforeAfterCare,sports","Hilltop"
102,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38167"," ",405,"scholarshipsAvailable,music,sports,offersBeforeAfterCare,arts","Hilltop"
103,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38168"," ",405,"sports,offersBeforeAfterCare,music,scholarshipsAvailable,arts","Hilltop"
104,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38169"," ",405,"scholarshipsAvailable,arts,music,offersBeforeAfterCare,sports","Hilltop"
105,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38170"," ",405,"sports,arts,offersBeforeAfterCare,scholarshipsAvailable,music","Hilltop"
106,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38171"," ",405,"music,scholarshipsAvailable,offersBeforeAfterCare,sports,arts","Hilltop"
107,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38172"," ",405,"arts,offersBeforeAfterCare,scholarshipsAvailable,sports,music","Hilltop"
108,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38173"," ",405,"sports,scholarshipsAvailable,arts,music,offersBeforeAfterCare","Washington Virginia Vale"
109,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38174"," ",405,"sports,offersBeforeAfterCare,arts,music,scholarshipsAvailable","Hilltop"
110,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38175"," ",405,"arts,offersBeforeAfterCare,scholarshipsAvailable,sports,music","Hilltop"
111,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38176"," ",405,"music,sports,scholarshipsAvailable,arts,offersBeforeAfterCare","Hilltop"
112,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38177"," ",405,"sports,scholarshipsAvailable,offersBeforeAfterCare,music,arts","Hilltop"
113,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38178"," ",405,"sports,scholarshipsAvailable,music,arts,offersBeforeAfterCare","Hilltop"
114,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38179"," ",405,"sports,offersBeforeAfterCare,music,scholarshipsAvailable,arts","Hilltop"
115,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38180"," ",405,"arts,offersBeforeAfterCare,sports,scholarshipsAvailable,music","Hilltop"
116,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38181"," ",405,"music,sports,scholarshipsAvailable,arts,offersBeforeAfterCare","Washington Virginia Vale"
117,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38182"," ",405,"scholarshipsAvailable,music,arts,sports,offersBeforeAfterCare","Hilltop"
118,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38183"," ",405,"arts,music,offersBeforeAfterCare,sports,scholarshipsAvailable","Hilltop"
119,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38184"," ",405,"arts,scholarshipsAvailable,sports,music,offersBeforeAfterCare","Hilltop"
120,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38185"," ",405,"music,arts,sports,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
121,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38186"," ",405,"scholarshipsAvailable,sports,arts,offersBeforeAfterCare,music","Hilltop"
122,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38187"," ",405,"music,arts,scholarshipsAvailable,offersBeforeAfterCare,sports","Hilltop"
123,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38188"," ",405,"arts,sports,offersBeforeAfterCare,music,scholarshipsAvailable","Hilltop"
124,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38189"," ",405,"offersBeforeAfterCare,music,sports,scholarshipsAvailable,arts","Washington Virginia Vale"
125,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38190"," ",405,"music,sports,offersBeforeAfterCare,scholarshipsAvailable,arts","Hilltop"
126,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38191"," ",405,"offersBeforeAfterCare,scholarshipsAvailable,arts,music,sports","Hilltop"
