"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"9947","3244",658,"40215","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-09,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9948","3245",658,"40215","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-10,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9949","3246",658,"40215","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-11,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9950","3247",658,"40215","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-12,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9951","3248",658,"40216","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,scholarshipsAvailable,academic,specialNeedsStudent",2019-07-29,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9952","3249",658,"40216","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,scholarshipsAvailable,academic,specialNeedsStudent",2019-07-30,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9953","325",993,"43577","80128","8355 S. Wadsworth Blvd",0,"320","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,arts,sports,dance,offersBeforeAfterCare,drama,nature,cooking,stem",2019-07-29,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
"9954","3250",658,"40216","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,scholarshipsAvailable,academic,specialNeedsStudent",2019-07-31,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9955","3251",658,"40216","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,scholarshipsAvailable,academic,specialNeedsStudent",2019-08-01,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9956","3252",658,"40216","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,scholarshipsAvailable,academic,specialNeedsStudent",2019-08-02,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9957","3253",658,"40217","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,nature,specialNeedsStudent,scholarshipsAvailable",2019-06-10,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9958","3254",658,"40217","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,nature,specialNeedsStudent,scholarshipsAvailable",2019-06-11,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9959","3255",658,"40217","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,nature,specialNeedsStudent,scholarshipsAvailable",2019-06-12,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9960","3256",658,"40217","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,nature,specialNeedsStudent,scholarshipsAvailable",2019-06-13,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9961","3257",658,"40217","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,nature,specialNeedsStudent,scholarshipsAvailable",2019-06-14,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9962","3258",658,"40218","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","scholarshipsAvailable,nature,academic,specialNeedsStudent",2019-06-17,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9963","3259",658,"40218","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","scholarshipsAvailable,nature,academic,specialNeedsStudent",2019-06-18,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9964","326",993,"43577","80128","8355 S. Wadsworth Blvd",0,"320","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,arts,sports,dance,offersBeforeAfterCare,drama,nature,cooking,stem",2019-07-30,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
