"Id2","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
80310001021,34.112390955609,20.8134212475852,33.4871086015668,18.1951049552931,15.6906446968095,32.7609213858322,22.5467545547251,17.1017804800701,35.8835389353964,33.7304066027402,21.3510085260772,34.1942499798295,27.1461642670918,34.0814547256562
80310001022,30.8600376406363,18.8929207187351,30.9448524704259,16.8717908053496,14.4139149568567,30.2024290379667,21.2996875622011,15.8002732590132,33.3948625994134,30.6950639738572,19.4020334612238,31.6678042353541,24.9316449955111,31.55248708579
80310001023,27.8753664972373,17.5030386766568,30.973174312224,15.7921873644313,13.6833917842058,30.2953218455914,20.9948971569683,15.0215990877719,33.2100991405636,28.3320273683233,17.9884750212232,31.6332486251935,23.24861959674,31.5279609808931
80310002011,30.9962459928538,21.0823483406505,35.0718032011717,18.4212356623332,17.0959534257725,34.5689984258082,22.6956746098377,18.2619340739772,36.7310676299133,31.0824951859766,21.5424141107233,35.5614208288902,25.7989128627503,35.4833225214458
80310002012,34.3393599831799,23.6808872577707,38.6999960204148,20.8244842291571,19.6531113176585,38.1357452385332,25.3710495061409,20.9269696845366,40.5620333302017,34.3821331604443,24.1675122438357,39.2494480996309,28.7292567197306,39.1618056721952
80310002021,37.9642004039148,23.4652267925558,37.7674103475197,20.1531168556259,17.7219293719461,37.1645342234769,23.7085579678368,19.029694828534,39.7569119524693,37.076328291988,24.0149855440215,38.3544747353802,29.7255508798414,38.2608328147115
80310002022,35.2889360243685,24.0086390473857,38.1859762576697,21.0320714828144,19.2174782374132,37.6042954751713,24.7519076649216,20.5054447734085,40.1055328700435,34.9052584953749,24.5226847867644,38.7524011978673,28.9945434168698,38.6620514501879
80310002023,32.4242125775423,20.0599226550897,32.1628505965133,17.3608999562059,15.2037402804152,31.6288971459631,21.184603654192,16.3732036266137,33.9249061904787,32.0955461119435,20.532898378891,32.6827999577371,25.7663155749709,32.5998634726731
80310002024,30.1382138357083,19.0330840794279,31.9069327761346,16.5006580811747,14.6505002456959,31.4134417143912,20.6932059969611,15.7838830315939,33.5354617893304,30.2091848334527,19.4874716716227,32.3874809626081,24.3853156868242,32.3108293106161
80310003011,37.3463576613966,21.9513489231861,32.7559107760146,19.5061781129535,16.2017457356372,32.1566319802581,23.1056477529004,17.4320255519905,34.7335411355893,36.2758740634993,22.4585459029631,33.3394721833387,29.0585143976874,33.2463890188002
