"Id2","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
80310001021,43.0773836444665,30.6938309196524,43.7083395720215,40.7855392419766,25.7482499536382,46.1061265185411,35.1705708702621,28.2313699698353,44.184825510316,38.977791414693,31.2349935361465,43.7454334736391,39.5028212928495,44.4361812686294
80310001022,41.151050027122,30.4958509102281,44.9017928283593,39.4512951507914,26.0854023250539,48.0279007676763,33.1925884421713,28.3712051962603,45.3415242030121,36.1380475733394,31.0591202445283,44.9274762415264,37.483245298356,45.7996735101435
80310001023,37.9795075752581,28.9190882722558,43.5927016750219,36.6500836033953,24.3179011616929,45.2516901340678,30.9047686889535,27.2040224645463,43.9758894467739,32.889677865571,29.454828027746,43.5964108788579,34.6060094332945,44.1041730336804
80310002011,41.6551848360038,31.3163310857182,45.0637965808242,39.5061132003012,25.3654043136653,43.5835245834233,33.2554618159554,29.4600769038389,45.3564973577543,35.7903908320699,31.8223299325685,45.0815181060279,37.5517876710826,44.7713341570074
80310002012,47.2000517577057,36.3898555886588,52.7325798598798,44.5874079251129,29.7852598730867,50.8851517066598,36.7473515652892,34.4762780165386,53.0252248011504,39.4679649637618,36.9657565284975,52.7449369710906,42.0006940529674,52.3469733346952
80310002021,52.3365790191244,38.7681380203127,57.2742113944485,48.7731289598871,31.1650117431479,56.9922915004918,40.8007904181823,35.7482177828866,57.4793058939646,45.2844312984464,39.4290843393288,57.2246179614483,46.79873242391,57.2426066875883
80310002022,49.6509695849655,38.7272825776088,56.6573358662874,47.9164795390818,32.0098994452336,56.5402936945603,40.0011401472971,36.221778239038,56.8680736575946,42.8340571138874,39.3581064055114,56.6189164185383,45.100661596308,56.6711549092451
80310002023,44.0159677658278,32.0858050723354,46.8965238022022,41.1308092314572,25.2828518169374,45.4125641960606,34.6072563862036,29.5888617421196,47.1373566498576,38.2218586602105,32.6365916063761,46.8865373270411,39.4939730109248,46.5832454937904
80310002024,42.4504839883784,31.2050831496443,46.3891075459576,39.9084054039438,24.3288413613937,44.0933579463525,32.9415090382148,29.0006316098158,46.6009006040125,35.9143783697082,31.7466989670218,46.3777710316731,37.8036942000613,45.8652842819989
80310003011,48.2850605885435,34.9143940209442,50.1845856823345,44.7281053254066,28.2383878248992,50.7297728485956,38.6819007815522,31.8263431815428,50.4239124990037,43.3050089775079,35.4990648808028,50.1511639893678,43.7500189182526,50.3723587548254
