"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"32","1500000US080310004022",80310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1468,309,1386,297,48,57,0,11,20,32,0,11,0,11,14,22,14,22,0,11
"33","1500000US080310004023",80310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",1258,301,1198,295,10,16,0,11,28,32,0,11,0,11,22,34,0,11,22,34
"34","1500000US080310004024",80310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",642,249,603,212,0,11,0,11,39,61,0,11,0,11,0,11,0,11,0,11
"35","1500000US080310004025",80310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",768,199,745,195,0,11,23,37,0,11,0,11,0,11,0,11,0,11,0,11
"36","1500000US080310004026",80310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",377,136,307,114,0,11,70,91,0,11,0,11,0,11,0,11,0,11,0,11
"37","1500000US080310005011",80310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",1122,123,1053,113,10,11,14,14,9,10,13,14,6,9,17,20,17,20,0,11
"38","1500000US080310005012",80310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",812,112,731,114,30,32,7,12,4,6,0,11,13,13,27,26,23,25,4,6
"39","1500000US080310005021",80310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",1184,389,890,260,190,278,11,19,0,11,0,11,75,115,18,30,0,11,18,30
"40","1500000US080310005022",80310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",1537,324,1198,278,193,171,0,11,17,27,0,11,42,53,87,79,25,43,62,63
"41","1500000US080310005023",80310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",940,291,697,264,80,100,18,27,0,11,0,11,0,11,145,144,113,125,32,54
"42","1500000US080310005024",80310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",1447,415,1133,475,143,181,0,11,93,85,0,11,36,55,42,36,0,11,42,36
