"","Id2","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"85",80310013013,45.6649176426097,62.1187636534667,47.0174267854987,41.3212116720593,51.1750326440652,51.1750326440652,55.8626603340021,62.9635993500437,37.5281408630012,57.0137867965495,62.9635993500437,37.5281408630012,49.9656441113052,43.3121852888916
"86",80310013014,47.865700336058,65.5027107853344,51.9852048455781,44.5655500057009,58.3110998442289,58.3110998442289,59.5038586755094,66.6875484276284,40.3637872352283,60.6250175547015,66.6875484276284,40.3637872352283,53.1400316429924,47.7559697900659
"87",80310013015,49.872290699964,67.5189882523667,52.7537641868526,47.2440160822771,63.2361044415643,63.2361044415643,62.8105047102725,69.4209105592257,43.227249826875,63.7613124298588,69.4209105592257,43.227249826875,55.9220309805931,50.6110920705417
"88",80310013021,54.2520466024667,65.7764367004476,49.3999738527965,48.9882274126064,55.216518068457,55.216518068457,64.1609425143558,68.4821679806428,44.1116404916202,64.9439955714215,68.4821679806428,44.1116404916202,58.0863030252126,48.2099432261235
"89",80310013022,54.3923821188444,63.3064501488385,51.1343019536882,51.5815578382338,51.2771758647403,51.2771758647403,64.0764386929712,65.5462943918911,41.6911818291353,64.9044793378174,65.5462943918911,41.6911818291353,58.7387144969667,46.4484603691748
"90",80310013023,48.3318820096593,61.3176440622357,50.4007357542998,46.3538529813076,45.4327075094274,45.4327075094274,58.5998521733894,62.8235158906138,38.8029776283301,59.6990921197393,62.8235158906138,38.8029776283301,53.2461698210239,43.3598496300969
"91",80310014011,50.600461854923,64.5744735568072,51.6992257803833,49.2360494163388,51.4801810950171,51.4801810950171,62.8477564999808,65.5711595236552,39.3916164222476,64.2197344060203,65.5711595236552,39.3916164222476,56.7260005443157,45.4906599299739
"92",80310014012,45.5165450734084,61.4094472971334,50.433002549731,44.0510412363803,45.5717648644022,45.5717648644022,56.5487301879151,61.2847672035311,34.9051004027437,57.9617113182232,61.2847672035311,34.9051004027437,51.0195069539818,41.4537420549051
"93",80310014013,48.535138675035,62.6796140214468,54.3609687449012,46.9573309611552,47.9648356043771,47.9648356043771,59.5354716492422,63.1769188357402,37.234760946975,60.7451649312651,63.1769188357402,37.234760946975,53.9432765541744,44.1988315608071
"94",80310014014,45.5205162036467,60.2932614025302,53.2931741176878,43.6824785638137,47.1652317179055,47.1652317179055,55.4023925303314,60.418927714648,34.995930342242,56.8539603260809,60.418927714648,34.995930342242,50.3648369059682,42.6125666300193
"95",80310014015,43.8544607378248,59.3129941578461,52.8402103242398,42.2836654452288,43.9344689706602,43.9344689706602,53.6808910661334,59.009898047447,33.4070927577609,55.1603399910632,59.009898047447,33.4070927577609,48.7448393100625,40.8972162026055
"96",80310014021,43.7368732007769,59.7442401466302,53.0485500347761,42.209895457678,42.8763353963528,42.8763353963528,54.0772101527696,59.5585037260564,33.9337662376695,55.6060961522719,59.5585037260564,33.9337662376695,48.9075187408741,40.948104476617
"97",80310014022,45.2837973607844,60.7983195493002,50.3202041130029,43.9726653698558,45.0879698330167,45.0879698330167,56.4295975495737,61.0980098728093,35.5953471179491,57.8416248452866,61.0980098728093,35.5953471179491,50.8819212813751,41.6497170454794
"98",80310014023,43.2347031357848,59.4577202126317,52.9095203155773,41.7303004099734,40.5074142810968,40.5074142810968,53.4326493314006,59.1955934000654,33.5876591206268,54.9519145794247,59.1955934000654,33.5876591206268,48.3373918641459,40.1480632094819
"99",80310014024,41.4635402401634,57.7505103802501,52.1206049636516,39.7433613663452,37.944273847675,37.944273847675,51.0599531347774,57.0556449244656,31.5810239983111,52.6596014789622,57.0556449244656,31.5810239983111,46.2316140550621,38.3067317019872
"100",80310014031,44.6546967289808,59.620693347286,53.6278796196451,44.865554316091,42.6681124238263,42.6681124238263,56.3085550621675,59.3880189537781,33.7716841958073,58.8143176639734,59.3880189537781,33.7716841958073,51.1607809428032,40.9598401087715
"101",80310014032,41.5577543692179,58.3653873295989,52.7537641868526,40.5561254450238,40.6668035295122,40.6668035295122,52.7498959338693,57.8221556297916,32.3050135397557,55.0371783102841,57.8221556297916,32.3050135397557,47.4752385145988,39.507648698969
"102",80310015001,51.0349599774591,97.8638118470607,49.8410428600684,51.1817019412525,48.7233832224261,48.7233832224261,63.7563478153955,90.9909344814175,38.4554295632712,63.9915107123109,90.9909344814175,38.4554295632712,57.4911301116045,43.8688213022592
"103",80310015002,50.6546735160253,94.015602346454,50.1917543782387,52.4200989370305,50.559540313832,50.559540313832,64.211253025873,88.5277976440464,39.7194201496943,64.4988272490157,88.5277976440464,39.7194201496943,57.9462131819861,45.0475337478648
"104",80310015003,51.0056094690195,86.0371939885771,51.9008475290942,52.0561419492844,60.2884049438509,60.2884049438509,68.6282911038305,85.1910611731344,46.6592750535104,68.8655948660968,85.1910611731344,46.6592750535104,60.1389093470578,51.3769506449915
"105",80310016001,43.8629940791151,76.6090477264248,47.2507635328423,46.8684801653908,37.8817350505775,37.8817350505775,59.0378673357937,73.7450080217004,36.4686240171734,58.8068846891025,73.7450080217004,36.4686240171734,52.1440565673505,39.5174366544416
"106",80310016002,37.1714285807194,71.6373189681091,39.68020244993,35.8983657406992,24.0058010280846,24.0058010280846,50.6384151337678,68.5056264361359,32.8551088841796,50.3280541306534,68.5056264361359,32.8551088841796,43.5090658964599,32.3490553115935
"107",80310016003,45.5817299480319,80.164670692557,48.1715488470629,49.0133766310485,32.4010433165037,32.4010433165037,66.7219784212435,80.7185511305878,46.7192275330004,65.9234014130209,80.7185511305878,46.7192275330004,56.8101216033362,43.5027618073918
"108",80310017011,54.2957920061314,87.7138790937323,51.7495209301754,53.3661625127057,50.7423578476269,50.7423578476269,75.9066559470812,88.8854866970703,52.4570268738608,75.8190897931417,88.8854866970703,52.4570268738608,64.846925064765,51.851483131381
"109",80310017012,66.1454596081994,84.6311526524808,49.1040030554352,61.2756941177565,63.1138287589712,63.1138287589712,94.5577430831004,92.2713801737793,66.3524671057571,94.2799140344662,92.2713801737793,66.3524671057571,79.0647027108806,61.2306915064801
