"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"1","Athmar Park",15.7896091205485,16.225186709355,15.8742882835571,12.6258883569816,15.2940088097502,19.7132378726522,19.2400833455591,19.626177725439,21.003072935532,18.8644383896974,19.819854197284,20.9843869323956,16.6300048031966,19.3937465060342
"2","Auraria",18.9473852379144,20.9891546085155,21.3465957870398,15.1792144885675,19.8760069659979,18.9692285576099,28.9821156797071,26.1501782162171,25.7863119473278,27.5830490514028,25.8025463535795,25.5706931952267,22.672941114398,22.918207371801
"3","Baker",18.9395783284487,18.7031593264836,17.6055696582152,15.8394304966616,17.2386808222818,15.8763584093789,22.4830543334552,21.7435806878639,21.7327463581211,21.1344518657198,20.9178479365794,20.9761866301301,19.5991287560713,19.0477152639613
"4","Barnum",18.551902074739,22.7730154367467,30.30640864922,11.3639215863597,14.9844760921326,22.3121799249028,21.8010051203771,23.4433486363861,27.7997632442211,21.8942861981735,24.4302926582078,27.4750646658126,18.4027787449123,26.9733541210391
"5","Barnum West",15.08458830936,17.8552666575443,20.9135709632326,10.2533060326033,13.5939815857582,16.098313950108,16.9885711573093,17.8621382719165,19.4977166619027,16.9336502532658,18.289141173192,19.3590639280955,14.8150289381346,18.9671663758347
"6","Bear Valley",10.0995812704461,12.0434773176822,10.8261522627926,7.9444845430598,12.8409691263535,23.4184254981222,11.3215408439416,12.196385994541,11.6486340230451,11.1834329125568,12.2066086255047,11.880071929202,10.1372598925011,14.4433209282905
"7","Belcaro",18.8238480218697,15.9615380474439,10.0584839005764,18.4909525916401,18.1308884770061,9.70163741210953,18.0819854581393,15.9724522099338,13.1414344838715,17.1177502891891,15.7117577651796,13.3698689172323,18.1286340902096,11.5678561784474
"8","Berkeley",11.1272380482619,12.5610179561366,10.0632596655946,9.44087830398357,14.1633200793492,12.5937107158807,13.5365719154631,13.755124454452,13.4382010133189,14.6583121765475,14.431883306629,13.9592029649622,12.190750111064,12.5135935899391
"9","Capitol Hill",21.0273915896591,20.4988068110807,15.8959656614858,18.4842295407824,20.5537270280936,14.113506967704,24.0376304372665,22.418898764051,20.6260156657285,23.1209781796452,22.4046736409602,20.6573560734139,21.6675574368383,17.8232110920831
"10","CBD",21.0915211528119,22.4725223593249,20.3963089253683,17.5924797387692,22.9222465346664,20.7948662036449,30.4709533910589,27.3688680747874,26.0196524808348,29.5195716618372,27.4330985039684,26.3285387586362,24.6686314861193,23.384841592121
"11","Chaffee Park",10.3744792841446,11.3002614197752,8.76101398935899,9.50504174913095,14.2103567215391,10.5564227130993,12.615983958086,12.3138442161445,11.5302303934414,13.4328573246079,12.6183165786546,11.8245631923563,11.4820905789924,10.668057572064
"12","Cheesman Park",18.1183550797286,17.6126067035276,12.4889423751012,17.9970977332632,19.2895550218006,10.8453220700643,19.7849575005351,18.2030106523206,15.7242295474927,19.0356611823904,18.3129432589844,16.0355848855297,18.7340178739794,13.773519719547
"13","Cherry Creek",20.7834842582621,17.8535468767335,11.1775062177899,18.8592826872589,19.7979474802518,10.2233443768075,19.4689265057354,17.7813248486006,14.5290868998526,18.5233554339976,17.3209028051735,14.5029125710428,19.4087622213135,12.6082125163732
"14","City Park",13.6968452476937,13.6453763003829,9.32627168516568,14.8581685649385,16.3967983230953,9.16524300493865,15.373752992,14.38985909663,12.3904136223513,14.832641387049,14.6393602623912,12.6572470703793,14.6903520479203,10.8847938457087
"15","City Park West",15.2434286192604,15.9056431767856,11.3645825519594,15.6878511411394,18.5788291837617,11.0818370735233,17.6230027715518,16.7677861440319,14.6574692353544,17.1190450827331,17.1776482293096,15.1511840182349,16.4183319036712,13.063768219768
"16","Civic Center",19.3911649673703,19.7453705716223,17.9892267565273,15.6285866759966,18.7556258114726,15.5167216195314,23.9831009261503,23.4678226438115,23.9430696394232,23.4762035654671,23.5353572900986,23.6011076407883,20.6197640337461,20.2625314140676
"17","Clayton",12.8951986446036,13.0953146760235,10.1074836938281,12.6309412199423,15.0374534612695,9.90379291099206,14.2264568976924,13.5739721452194,12.180326920684,14.1038183843989,14.2279350122514,12.9396098643641,13.4641037866593,11.2828033474671
"18","Cole",13.2851660559517,13.7924956434169,11.0197178339259,12.7147265628454,15.4028885054176,10.2320534720959,15.2910293541729,14.471944998975,13.11410859971,15.1983918007025,15.2159286116885,14.0501120761037,14.1223284434182,12.1039979954588
"19","College View - South Platte",11.7515126322988,13.0224862765829,11.7447524800613,10.132659779666,15.0519017776718,29.1655323874884,15.2032730012993,16.2064759789065,16.4852286940199,14.5342746619449,15.7587068893398,16.3747473708517,12.9054300188022,18.4425652331054
"20","Congress Park",17.663388617128,16.8227369347566,11.099344985267,18.0341158911475,19.2244374687373,10.1957972177092,18.3839763163585,17.0222557963556,14.1419828534702,17.739726847232,17.0047245389929,14.4212946518826,17.9553019179665,12.4646049270822
"21","Cory - Merrill",17.9019652036442,16.5940378699001,9.7674897879154,17.7408224610366,19.3066169648758,9.84752664741753,17.829756333789,16.2836519536429,12.8868444446447,17.0044262009627,15.9613712223877,13.1566020837165,17.6192425498581,11.4146157409235
"22","Country Club",19.8116697975713,18.4057765376726,12.7156461529112,18.4796501901973,19.6896734551956,10.9772371663014,20.2912808960127,19.0745696115551,16.4974474259311,19.3893478952346,18.6640744362152,16.4095232501156,19.492987194754,14.1499634988148
"23","DIA",0.267374160837193,0.297956341040413,0.154071917079194,0.232854711544862,0.332517872264966,0.185925748619954,0.254543903206514,0.260849593920553,0.180002194310638,0.247548979519849,0.256837655773273,0.194459088375383,0.250580438777104,0.178614737096292
"24","East Colfax",14.1954232094365,13.8778740597894,7.89169820731122,15.8138651612732,16.2791459417328,9.18036925674199,14.414370393275,13.6600579115356,10.29493120078,13.7677106929489,13.7828454521653,10.53267323128,14.5478423642334,9.4749179740283
"25","Elyria Swansea",9.90071129467103,10.2592186426857,8.00653911172953,9.11013153700458,10.9792507224514,7.37311799601514,11.5470005938521,11.1320975174091,10.2674292617512,11.6968671667313,11.8305172452944,11.1802006385487,10.5636776480648,9.20682175201114
"26","Five Points",15.1783941300782,15.9478708983799,12.8002908174636,13.6721272344892,17.1219247504247,13.6138332710131,18.4325145203374,17.2560240365757,15.8089728820811,18.084857769522,17.9024757731422,16.6906209015674,16.3419734136067,14.7284294680313
"27","Fort Logan",7.86518155917541,8.80319925014357,6.75709300308149,6.55961936623589,9.82091977297618,13.5051644376319,9.46927714013025,10.0431482364025,8.36119562274497,8.6196520264001,9.05245125530519,8.41549624902756,8.12843252298541,9.25973732812148
"28","Gateway - Green Valley Ranch",5.7554615874559,6.49947576755584,5.36744150084238,4.67304556871514,6.40182813000056,6.7653015626598,6.11253684921002,6.40211492516389,5.78421829349182,6.21791624000942,6.77362756870832,6.49099380532233,5.68974006134762,6.10198879057909
"29","Globeville",10.4359689838737,10.4469428026447,7.3374483828354,9.48953694959499,11.0987271030088,7.43342154177765,11.6737034191438,10.7278102040387,9.13552895415158,11.4842993167197,10.9092730105912,9.59261727142719,10.770877167333,8.37475403754796
"30","Goldsmith",14.2648881509718,14.271724343235,7.88156677639521,13.1060473059703,17.2786474700086,9.96676813701014,13.9954402159499,13.9265612022356,10.4129726705782,13.2896108535345,12.9661759473222,10.5157748683775,13.6639966316066,9.69427061309027
"31","Hale",15.9211501500396,15.0107479364683,9.15025930249528,16.0249098937528,16.78101406334,9.1743104594783,15.9063371158684,14.8694701986052,11.8440553148814,15.2700192640606,14.6932679950217,12.092636202428,15.7806041059303,10.5653153198207
"32","Hampden",12.173033315352,12.6552074779702,7.39639030223913,11.5854150254046,15.7283748769233,10.5662584403223,13.0089297145043,13.5426652409681,11.0461025205522,12.6901512987785,13.1175457405999,11.2840849447342,12.3643823385098,10.073209051962
"33","Hampden South",11.5442283295186,11.7509502968678,6.95843551751859,10.9840556974777,14.5583653468459,8.80571218331888,12.1504221086182,12.3427458158621,9.73287785201131,12.2160491765318,11.8553397443474,9.82751926004538,11.7236888280366,8.83113620322354
"34","Harvey Park",11.8523456398218,13.4319132319158,11.6662860615884,10.0087965478029,15.2273814551162,27.3896377940491,14.6036968387592,15.5743511527387,15.5653595977195,14.2454565869184,15.4437206311532,15.6221163436237,12.6775739033256,17.5608499492452
"35","Harvey Park South",11.507863528253,13.650216387671,12.2155973419879,9.09770572735068,14.6763871973436,26.926513872476,13.3325180383028,14.3466447594454,13.8842790909489,13.0889737352939,14.294539230829,14.0782777047308,11.7567652573001,16.7761670025359
"36","Highland",14.7573893821166,15.9923363970725,11.9451892264398,12.601529699866,18.0983572835239,15.3565246203443,18.290131270949,17.4112759979785,16.1240000047339,18.6368710428233,18.0695079190047,16.7039714688047,16.0714803489387,15.0324213300807
"37","Hilltop",19.4229408055667,15.6363233264044,8.94415966895583,17.4160882743819,17.4899662112644,9.44553263166856,16.8097684735047,15.0770559512972,11.4893665534932,15.9098674739598,14.5957877775036,11.5653265005172,17.3896662568533,10.3610963386587
"38","Indian Creek",14.4288638242082,13.6773608038014,7.28525508351608,12.9662366601282,15.8205735742801,8.9167343328353,13.3039271896788,13.272689083118,9.89488331420439,12.6207828265564,12.6660633959348,10.0749947746291,13.3299526251429,9.04296687629619
"39","Jefferson Park",14.0495728689293,15.0186136578867,13.0446953350612,11.9304283013419,16.2883360195383,17.2223061654553,18.4583576575988,17.4573615024195,17.4069628220203,18.4639464427188,18.0956220954749,17.8218002951561,15.7255763176472,16.3739411544232
"40","Kennedy",12.0279477961924,13.022983841306,8.04869484945637,12.3021293568034,18.5603106543385,12.2266485014052,14.0767037914496,14.9251113173888,12.6887720236731,13.7053978794907,14.6514538173511,13.094442683263,13.028044705984,11.5146395144493
"41","Lincoln Park",15.6143655589218,16.1213355949222,14.288079687369,13.1377625744944,16.2778560150182,14.4386398957604,20.851903675522,19.9155374424676,19.4585378537342,20.242952636415,19.3706190819042,19.1216966523759,17.4617461113383,16.8267385223099
"42","Lowry Field",19.5356657863904,14.8478282970405,7.95860169062216,17.6863312810749,16.16566280607,9.21468556514612,15.1047049166678,13.9289887104858,10.0378285458936,14.1984156184865,13.3255149323292,10.1977713668777,16.6312794006549,9.35222179213488
"43","Mar Lee",12.410387204075,13.9882386300288,13.5227675620438,10.0510719218419,14.5578877824727,25.3161343690219,16.2419188271982,17.5968209738761,19.316002200296,16.2023085472693,17.9355280255054,19.2070705468191,13.7264216250961,19.3404936695452
