"","Id2","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"223",80310037022,73.4280077028571,69.8625671018619,47.090120869869,68.8060144522947,77.05694762894,44.6772819158211,74.4937278989059,69.5929401448327,59.0058030140898,72.9796757026329,70.2466073180774,60.3949871075343,72.4268564391727,52.7920482268286
"224",80310037023,69.745024682704,66.8675008822097,45.8225060613001,65.1457512857269,73.9451415633754,43.1216370053565,71.6298897053797,67.0565834523453,57.36473826464,70.3808536346288,67.793395943869,58.8576690405756,69.2253798271099,51.291637592968
"225",80310037024,71.5795199278741,69.1463351501327,46.9361955171188,67.7398553928658,76.9769883243831,44.3062152089583,73.062403865218,68.7635517167093,58.5448748794219,71.6777739164212,69.5189019609879,60.1973924757578,71.0148882755948,52.4961695203142
"226",80310037031,71.1497483600287,67.6838078956971,43.7488122880699,67.5870587841629,75.1811099204767,41.5923531433046,70.685754588422,66.1406375545913,54.9316373696092,69.2925414597507,66.796515167687,56.6492370705606,69.6787757980911,49.2305099678861
"227",80310037032,72.6644268446283,68.1044122686957,44.2827785285422,68.5409572852109,75.3873836498726,42.0770993751884,72.1440803356738,66.909258762159,55.7005768486356,70.6385760301746,67.453464850096,57.2036820689669,70.9970101239219,49.8160342053333
"228",80310038001,77.7962266131993,69.614931061963,41.9502995776231,72.495161535525,77.9605813494026,40.8123843926049,74.3617738687491,66.998061333001,53.3982504881198,72.2920570495469,66.857492645773,54.7420631472302,74.2363047667551,47.7257494013945
"229",80310038002,79.8786412229244,69.5366290283927,41.3266092125979,73.7856062274503,78.0369190481366,41.0494723933905,74.9931054834251,66.6894029745654,52.4970837045411,72.3740846619432,66.0953857641329,53.6510942261357,75.2578593989358,47.1310648841663
"230",80310038003,83.2846929425703,69.9500096985083,41.2190135442528,77.497000739453,78.8306438037931,41.7822465776939,76.8459959378452,67.0312929230621,52.4119763840045,73.678722728606,66.2541451842526,53.6629597970919,77.8266030871186,47.2690490757608
"231",80310038004,66.4838898700586,58.4212333250211,34.9851038982928,61.220570597956,65.7100870580333,35.4781673901411,62.9786678025734,56.1275932795766,44.0828951784181,60.5687192444529,55.3505288424529,44.9880782766224,62.8129618787602,39.8835611858686
"232",80310038005,76.5378965224488,70.6469319955612,43.7961057009034,71.8132277614884,78.5743951329849,42.1049862364644,75.1487075513989,68.8011252008039,55.7193656315156,72.7568590054766,68.363876074632,56.7343427617633,74.0641727102032,49.5887000826617
"233",80310039011,80.2472336298626,69.7644099179504,41.9082235711159,75.9411227127773,78.1735153334314,42.8473814586473,75.9836049214025,67.0043702538055,52.559128336937,72.0603564966263,65.6011837296786,53.5195193499193,76.0580794401672,47.7085631791549
"234",80310039012,85.1329423875844,73.9398271466832,43.4689946850601,80.9581572980983,83.2003049223073,45.2816984255437,78.948500471081,69.5630305008844,53.567925588076,74.654531466179,68.0149683297961,54.9401829941584,79.9235329057357,49.3147004232096
"235",80310039013,91.6797081651023,78.4753253987123,48.7758235464561,87.5893205925808,87.2819929515751,50.4218533924296,88.3048186653927,76.9833323970835,62.1885505138465,83.5777316538548,75.1417053666626,63.286215884432,87.7878947692327,56.168110834291
"236",80310039021,88.8523453793671,80.353657942937,51.167748225373,82.3111085237842,89.6576139397514,51.9956409570147,87.7945218585939,78.8326618500265,64.2629700061625,84.1306162537393,77.0536121617859,65.525449489416,85.7721480038711,58.2379521694915
