"","Id","Id2","Geography","TTL_population","Margin.of.Error..Total"
"57","1500000US080310009023",80310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",1069,339
"58","1500000US080310009024",80310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",1822,410
"59","1500000US080310009025",80310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",1638,385
"60","1500000US080310009031",80310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",1404,373
"61","1500000US080310009032",80310009032,"Block Group 2, Census Tract 9.03, Denver County, Colorado",1115,359
"62","1500000US080310009033",80310009033,"Block Group 3, Census Tract 9.03, Denver County, Colorado",1295,468
"63","1500000US080310009034",80310009034,"Block Group 4, Census Tract 9.03, Denver County, Colorado",1906,470
"64","1500000US080310009035",80310009035,"Block Group 5, Census Tract 9.03, Denver County, Colorado",739,254
"65","1500000US080310009041",80310009041,"Block Group 1, Census Tract 9.04, Denver County, Colorado",1090,328
"66","1500000US080310009042",80310009042,"Block Group 2, Census Tract 9.04, Denver County, Colorado",1560,283
"67","1500000US080310009043",80310009043,"Block Group 3, Census Tract 9.04, Denver County, Colorado",715,328
"68","1500000US080310009044",80310009044,"Block Group 4, Census Tract 9.04, Denver County, Colorado",1746,431
"69","1500000US080310009051",80310009051,"Block Group 1, Census Tract 9.05, Denver County, Colorado",862,278
"70","1500000US080310009052",80310009052,"Block Group 2, Census Tract 9.05, Denver County, Colorado",1274,493
"71","1500000US080310009053",80310009053,"Block Group 3, Census Tract 9.05, Denver County, Colorado",793,275
"72","1500000US080310009054",80310009054,"Block Group 4, Census Tract 9.05, Denver County, Colorado",1274,397
"73","1500000US080310010001",80310010001,"Block Group 1, Census Tract 10, Denver County, Colorado",1386,521
"74","1500000US080310010002",80310010002,"Block Group 2, Census Tract 10, Denver County, Colorado",788,318
"75","1500000US080310010003",80310010003,"Block Group 3, Census Tract 10, Denver County, Colorado",1873,552
"76","1500000US080310011011",80310011011,"Block Group 1, Census Tract 11.01, Denver County, Colorado",372,118
"77","1500000US080310011012",80310011012,"Block Group 2, Census Tract 11.01, Denver County, Colorado",675,201
"78","1500000US080310011013",80310011013,"Block Group 3, Census Tract 11.01, Denver County, Colorado",883,249
"79","1500000US080310011014",80310011014,"Block Group 4, Census Tract 11.01, Denver County, Colorado",734,177
"80","1500000US080310011021",80310011021,"Block Group 1, Census Tract 11.02, Denver County, Colorado",1021,312
"81","1500000US080310011022",80310011022,"Block Group 2, Census Tract 11.02, Denver County, Colorado",710,243
"82","1500000US080310011023",80310011023,"Block Group 3, Census Tract 11.02, Denver County, Colorado",1976,280
"83","1500000US080310013011",80310013011,"Block Group 1, Census Tract 13.01, Denver County, Colorado",1252,403
"84","1500000US080310013012",80310013012,"Block Group 2, Census Tract 13.01, Denver County, Colorado",1009,405
"85","1500000US080310013013",80310013013,"Block Group 3, Census Tract 13.01, Denver County, Colorado",1327,370
"86","1500000US080310013014",80310013014,"Block Group 4, Census Tract 13.01, Denver County, Colorado",740,269
"87","1500000US080310013015",80310013015,"Block Group 5, Census Tract 13.01, Denver County, Colorado",787,295
"88","1500000US080310013021",80310013021,"Block Group 1, Census Tract 13.02, Denver County, Colorado",1754,385
"89","1500000US080310013022",80310013022,"Block Group 2, Census Tract 13.02, Denver County, Colorado",947,477
"90","1500000US080310013023",80310013023,"Block Group 3, Census Tract 13.02, Denver County, Colorado",1377,288
"91","1500000US080310014011",80310014011,"Block Group 1, Census Tract 14.01, Denver County, Colorado",1067,315
"92","1500000US080310014012",80310014012,"Block Group 2, Census Tract 14.01, Denver County, Colorado",538,180
"93","1500000US080310014013",80310014013,"Block Group 3, Census Tract 14.01, Denver County, Colorado",1974,643
"94","1500000US080310014014",80310014014,"Block Group 4, Census Tract 14.01, Denver County, Colorado",1639,347
"95","1500000US080310014015",80310014015,"Block Group 5, Census Tract 14.01, Denver County, Colorado",1331,458
"96","1500000US080310014021",80310014021,"Block Group 1, Census Tract 14.02, Denver County, Colorado",1287,544
"97","1500000US080310014022",80310014022,"Block Group 2, Census Tract 14.02, Denver County, Colorado",816,412
"98","1500000US080310014023",80310014023,"Block Group 3, Census Tract 14.02, Denver County, Colorado",1339,466
"99","1500000US080310014024",80310014024,"Block Group 4, Census Tract 14.02, Denver County, Colorado",1265,344
"100","1500000US080310014031",80310014031,"Block Group 1, Census Tract 14.03, Denver County, Colorado",1868,288
"101","1500000US080310014032",80310014032,"Block Group 2, Census Tract 14.03, Denver County, Colorado",1293,249
"102","1500000US080310015001",80310015001,"Block Group 1, Census Tract 15, Denver County, Colorado",1082,345
"103","1500000US080310015002",80310015002,"Block Group 2, Census Tract 15, Denver County, Colorado",1535,441
"104","1500000US080310015003",80310015003,"Block Group 3, Census Tract 15, Denver County, Colorado",1553,501
"105","1500000US080310016001",80310016001,"Block Group 1, Census Tract 16, Denver County, Colorado",3529,787
"106","1500000US080310016002",80310016002,"Block Group 2, Census Tract 16, Denver County, Colorado",5045,660
"107","1500000US080310016003",80310016003,"Block Group 3, Census Tract 16, Denver County, Colorado",2256,994
"108","1500000US080310017011",80310017011,"Block Group 1, Census Tract 17.01, Denver County, Colorado",1806,287
"109","1500000US080310017012",80310017012,"Block Group 2, Census Tract 17.01, Denver County, Colorado",942,292
"110","1500000US080310017013",80310017013,"Block Group 3, Census Tract 17.01, Denver County, Colorado",369,113
"111","1500000US080310017014",80310017014,"Block Group 4, Census Tract 17.01, Denver County, Colorado",1320,291
"112","1500000US080310017015",80310017015,"Block Group 5, Census Tract 17.01, Denver County, Colorado",827,221
"113","1500000US080310017021",80310017021,"Block Group 1, Census Tract 17.02, Denver County, Colorado",1695,317
"114","1500000US080310017022",80310017022,"Block Group 2, Census Tract 17.02, Denver County, Colorado",2288,355
"115","1500000US080310018001",80310018001,"Block Group 1, Census Tract 18, Denver County, Colorado",1858,213
"116","1500000US080310018002",80310018002,"Block Group 2, Census Tract 18, Denver County, Colorado",1529,388
"117","1500000US080310019011",80310019011,"Block Group 1, Census Tract 19.01, Denver County, Colorado",879,362
"118","1500000US080310019012",80310019012,"Block Group 2, Census Tract 19.01, Denver County, Colorado",1763,338
"119","1500000US080310019021",80310019021,"Block Group 1, Census Tract 19.02, Denver County, Colorado",812,204
"120","1500000US080310020001",80310020001,"Block Group 1, Census Tract 20, Denver County, Colorado",1918,201
"121","1500000US080310021001",80310021001,"Block Group 1, Census Tract 21, Denver County, Colorado",1140,310
"122","1500000US080310021002",80310021002,"Block Group 2, Census Tract 21, Denver County, Colorado",1516,444
"123","1500000US080310021003",80310021003,"Block Group 3, Census Tract 21, Denver County, Colorado",1010,218
"124","1500000US080310021004",80310021004,"Block Group 4, Census Tract 21, Denver County, Colorado",442,252
"125","1500000US080310021005",80310021005,"Block Group 5, Census Tract 21, Denver County, Colorado",1763,575
"126","1500000US080310023001",80310023001,"Block Group 1, Census Tract 23, Denver County, Colorado",2567,520
"127","1500000US080310023002",80310023002,"Block Group 2, Census Tract 23, Denver County, Colorado",1056,335
"128","1500000US080310023003",80310023003,"Block Group 3, Census Tract 23, Denver County, Colorado",2365,476
"129","1500000US080310024021",80310024021,"Block Group 1, Census Tract 24.02, Denver County, Colorado",1118,166
"130","1500000US080310024022",80310024022,"Block Group 2, Census Tract 24.02, Denver County, Colorado",769,160
"131","1500000US080310024031",80310024031,"Block Group 1, Census Tract 24.03, Denver County, Colorado",1257,256
"132","1500000US080310024032",80310024032,"Block Group 2, Census Tract 24.03, Denver County, Colorado",884,195
"133","1500000US080310024033",80310024033,"Block Group 3, Census Tract 24.03, Denver County, Colorado",1492,377
"134","1500000US080310026011",80310026011,"Block Group 1, Census Tract 26.01, Denver County, Colorado",1600,299
