"location","year_rehab","class","long","lat","sqft"
"La Lomita Park","1991","PG-NEIGHBORHOOD",-105.01234973,39.67992725,3932.4492993702
"Ash Grove Park","2016","PG-NEIGHBORHOOD",-104.92512757,39.68542785,3874.63826591191
"Bear Valley Park","2001","PG-REGIONAL",-105.07534862,39.66123091,1773.57181874871
"Ferguson Park","1991","PG-NEIGHBORHOOD",-104.93248117,39.75075347,2576.04374959416
"Flores (Hector M) Park","2012","PG-NEIGHBORHOOD",-104.99590595,39.72289964,1840.13791119911
"Franco (Bernabe Indio) Park","2002","PG-NEIGHBORHOOD",-105.00139297,39.76846582,3684.99695725627
"Thomas (Fred N) Park","2018","PG-COMMUNITY",-104.90085139,39.75180069,5274.46916475413
"Fuller Park","2000","PG-NEIGHBORHOOD",-104.96680098,39.75788392,4408.70758530541
"Bear Valley Park","1998","PG-REGIONAL",-105.06537306,39.65884667,4432.15160498679
"Bible (James A) Park","1995","PG-COMMUNITY",-104.91013939,39.6667218,6833.70176737417
"Greenway Park","2003","PG-COMMUNITY",-104.89582838,39.75252808,8977.01780730603
"West-Bar-Val-Wood","2010","PG-COMMUNITY",-105.0122653,39.71325711,5407.58600245626
"Downtown Childrens Playground","2007","PG-NEIGHBORHOOD",-105.0040218,39.75007304,3899.95685795314
"Green Valley Ranch West Park","2004","PG-NEIGHBORHOOD",-104.76763377,39.7785634,5261.85238190877
"City of Ulaanbaatar Park","2007","PG-NEIGHBORHOOD",-104.90047097,39.72396894,3904.23667698472
"Barnum Park","2002","PG-COMMUNITY",-105.02858491,39.72345541,4050.57774063698
"Congress Park","1991","PG-COMMUNITY",-104.95679372,39.72980564,5517.8849797076
"Cook (Judge Joseph E) Park","1993","PG-COMMUNITY",-104.91142835,39.68621018,7219.9127459701
"Crescent Park","2004","PG-NEIGHBORHOOD",-104.89971352,39.72948961,3878.60352414391
"Crestmoor Park","2001","PG-COMMUNITY",-104.91617834,39.71488836,4366.60810212179
"Dailey Park","1998","PG-NEIGHBORHOOD",-104.99257395,39.71589713,6796.14562514282
