"name","license_type","long","lat"
"THE BABY HAVEN","center",-105.035518937081,39.6394786233125
"DENVER PUBLIC SCHOOLS","center",-104.98215782609,39.7495814635849
"ACADEMIA HEAD START","center",-105.006992739376,39.7662419521531
"DENVER PUBLIC SCHOOLS","center",-104.929815416802,39.6627880810527
"LITTLE ANGEL'S CHILD CARE","home",-105.020657620054,39.6916461829646
"1885 S OGDEN ST LLC","center",-104.976075169977,39.6826133141262
"PARK WEST CHILDCARE","home",-104.943671687176,39.7354543522266
"TINKER TOWN, LLC","center",-104.865437167759,39.7591263422847
"CHILDREN'S GARDEN LEARNING ACADEMY INC ALFREDA MOORE CAMPUS","center",-104.963111784849,39.7571746061893
"COLORADO INSTITUTE FOR EARLY LEARNING INC.","center",-104.923517523907,39.7644626756847
"ST FRANCIS DE SALES CATHOLIC PARISH DENVER","center",-104.985522855323,39.7121698615773
"DENVER PUBLIC SCHOOLS","center",-105.059656849833,39.6605706919915
"LIVING CHURCH","center",-104.938831364579,39.6724648952322
"ESCUELA DE GUADALUPE","center",-105.030989468615,39.7270032665032
"PLATT PARK CHILDRENS CENTER","center",-104.978439504572,39.6871865527519
"OLIVE BRANCH MONTESSORI PRESCHOOL","center",-104.960049147715,39.7414961261911
"ROCKY MOUNTAIN KIDS, LLC","center",-104.761390435503,39.7953994661535
"DENVER PUBLIC SCHOOLS","center",-104.948937459319,39.7047153644768
"LIL PEOPLE LEARNING CENTER, LLC","center",-104.767821770884,39.7847907575862
"BLESSED SACRAMENT CATHOLIC SCHOOL","center",-104.929488141612,39.746342835811
"MS POLLY'S LITTLE TREASURES","home",-104.97000518591,39.7562010836501
"YMCA @ PALMER ELEMENTARY","center",-104.925199809023,39.7319559205083
"KINDER CARE #468","center",-104.921428427312,39.6757875033113
"DENVER PUBLIC SCHOOLS","center",-104.958772152073,39.7687314462035
"LUZ HUNTER","home",-104.915578403044,39.7084883661934
"DENVER PUBLIC SCHOOLS","center",-105.03072139264,39.7415658354445
"KAY'S KORNER CHILDCARE","home",-104.767368517236,39.7900259026183
"DENVER PUBLIC SCHOOLS","center",-104.856787080312,39.7555874004191
"PARK HILL ADVENTURE","home",-104.940225414647,39.7533701203583
"RABBI STEVEN FOSTER EARLY LEARNING CENTER","center",-104.925784157147,39.7170381012754
"AVID4 ADVENTURE INC","center",-104.88539916933,39.7562481598213
"NEW HORZON REAL ESTATE DEVELOPMENT COLORADO LLP","center",-104.881666877761,39.7733233588971
"SEWALL CHILD DEVELOPMENT CENTER","center",-104.781434121371,39.7856487787055
"LOS ANGELITOS DE ANA","home",-104.82185810633,39.7777845261155
"KAREN RYAN","home",-104.877001211799,39.6594067687601
"POSITIVE ALTERNATIVE","center",-104.894666822022,39.6538216634558
"DENVER PUBLIC SCHOOLS","center",-104.891546514678,39.6429832850535
"ALEACIA HINDS","home",-104.886131449992,39.6648851366764
"IMAGINATION STATION","home",-104.883458008273,39.7642404588768
"JUST LIKE HOME FAMILY CHILD CARE","home",-104.798859859721,39.7966167945791
"LAURA'S DAY CARE","home",-105.031246304548,39.6651580896687
"SEWALL CHILD DEVELOPMENT CENTER","center",-104.985791207299,39.7900155215805
"DENVER PUBLIC SCHOOLS","center",-105.045746269262,39.7321344251572
"DENVER PUBLIC SCHOOLS","center",-105.027627812393,39.697719553044
"AVID 4 ADVENTURE","center",-104.968175051256,39.7034669629384
"THE ACTIVE LEARNING CENTER","center",-105.027809748055,39.7551871109639
"ABILITY CONNECTION COLORADO, INC. (NON-PROFIT)","center",-104.888564309836,39.7289682936469
"LIL TOTS CHILD CARE CENTER","center",-104.925150557843,39.7631282328334
"DENVER PUBLIC SCHOOLS","center",-104.909014959183,39.7066217014072
"AMESE ELEMENTARY","center",-104.841884203134,39.7934747121562
"ROCKY MOUNTAIN S.E.R./JOBS FOR PROGRESS, INC.","center",-105.052783993847,39.7168757076851
"MOTHER'S TOUCH CHILDCARE","home",-105.038576322196,39.6329786756824
"COLUMBINE ELEMENTARY","center",-104.956368213333,39.7576075997634
"STEELE COOPERATIVE PRESCHOOL","center",-105.027325528295,39.7689799901071
"FAMILY STAR MONTESSORI SCHOOL","center",-104.978363854297,39.7595190007122
"PASITOS LANGUAGE & LEARNING CENTER","center",-105.010545239291,39.7689663230574
"WEAVER SERVICES","home",-104.886689594021,39.6644268310102
"INNOVATION LEARNING LLC","center",-104.930746942189,39.6771370312175
"UNIVERSITY OF DENVER","center",-104.962263724766,39.6813128133983
"HOPE CENTER INC","center",-104.955517119239,39.7650652588753
"INSPIRE PRESCHOOL, LLC","center",-104.940335594048,39.7181761534127
"SEWALL CHILD DEVELOPMENT CENTER @ FAIRVIEW","center",-105.02052467057,39.733472869023
"A BUSY CHILD DAYCARE","home",-104.840814580245,39.7895265598029
"STARFLOWER PRESCHOOL","center",-104.948928935288,39.7252611441698
"DENVER PUBLIC SCHOOLS","center",-104.912138650539,39.647714061252
"GRALAND COUNTRY DAY SCHOOL","center",-104.936163676881,39.7171047805178
"FISHER EARLY LEARNING CENTER","center",-104.965537887669,39.6787361510309
"DENVER PUBLIC SCHOOLS","center",-104.920510366974,39.6979131037476
"OPEN DOOR CHILD CARE CENTER","center",-104.972489420941,39.7413329285978
"DENVER PUBLIC SCHOOLS","center",-104.924273375654,39.7170362072686
"DENVER PUBLIC SCHOOLS","center",-104.957383489024,39.7220143323662
"DENVER CHILD CARE CENTER","center",-105.027600536294,39.6896290236314
"DOROTHY JOHNSON","home",-104.839469718356,39.7910096921948
"KIDS SMART, INC.","center",-105.051639073685,39.6829888954916
"FAMILY JUNCTION CHILD CARE","home",-104.897340350741,39.6456432137235
"GRATEFUL GARDENS PRESCHOOL LLC","center",-105.059670762884,39.7908859537449
"AN APPLE A DAY FAMILY CHILDCARE","home",-104.927927028937,39.7598447068963
"DENVER PUBLIC SCHOOLS","center",-104.929815416802,39.6627880810527
"ANGELES FELICES","home",-105.035864613338,39.7231160753715
"GOOD SHEPHERD CATHOLIC PARISH IN DENVER","center",-104.95639189742,39.7261084702502
"DENVER PUBLIC SCHOOLS","center",-104.969665057673,39.7626097129483
"WELLSHIRE PRESBYTERIAN CHURCH","center",-104.941270689447,39.6632521497398
"DPR-SUMMER IN THE PARKS","center",-104.957082741931,39.7300978137532
"CATERPILLARS 2 BUTTERFLIES LEARNING CENTER","center",-104.805965054552,39.7953713610514
"THE RISE SCHOOL OF DENVER","center",-104.930388504886,39.6591367927787
"MONTESSORI CASA INTERNATIONAL","center",-104.89779381839,39.7203160431922
"DENVER PUBLIC SCHOOLS","center",-105.003930894245,39.7736439660627
"DENVER PUBLIC SCHOOLS","center",-104.929315039983,39.7448897475284
"BOTANIC GARDENS SUMMER CAMP","center",-104.960466285232,39.7325731497522
"RASHIKA LOCKE LITTLE MAMAS DAYCARE","home",-104.744147639818,39.7931103218315
"DENVER PUBLIC SCHOOLS","center",-105.042595446807,39.7812977298875
"WASHINGTON PARK PRESCHOOL AND PARENT'S DAY OUT","center",-104.9646387334,39.6950777184397
"DORA MORALES","home",-104.891824538689,39.6354815927816
"DENVER PUBLIC SCHOOLS","center",-104.841884203134,39.7934747121562
"CHRIST LUTHERAN CHURCH","center",-104.969121530697,39.6680895033257
"DPR-COMMUNITY RECREATION SOAR AFTER SCHOOL","center",-104.985793778308,39.7561997426453
"ANNA JO GARCIA HAYNES CENTER","center",-104.974731284091,39.7548935678967
