"long","lat","sport","location","tier","class","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.86984552,39.7051721,"Softball","Bezoff (Ben) Park","C","BF-C",31383.4555976429,"80310070372",78,"Windsor"
-104.87181952,39.64655388,"Soccer","Kennedy Soccer Complex","A","MU-TURF",79125.5084424738,"80310070062",40,"Kennedy"
-104.87281923,39.64652119,"Soccer","Kennedy Soccer Complex","A","MU-TURF",86318.848292448,"80310070062",40,"Kennedy"
-104.8740046,39.64817076,"Soccer","Kennedy Soccer Complex","A","MU-TURF",86318.7552101211,"80310070062",40,"Kennedy"
-104.87402882,39.64694767,"Soccer","Kennedy Soccer Complex","A","MU-TURF",86318.7855357794,"80310070062",40,"Kennedy"
-104.87640744,39.79748766,"Baseball","Northfield Athletic Complex","A","BF-A",131365.613227869,"80310041061",60,"Stapleton"
-104.87691044,39.65710586,"Mixed-use","Hampden Heights Park","C","MU-TURF",35965.9923664852,"80310068143",32,"Hampden"
-104.87740176,39.65645569,"Mixed-use","Hampden Heights Park","C","",40461.7024011264,"80310068143",32,"Hampden"
-104.87746835,39.65644041,"Softball","Hampden Heights Park","C","BF-C",31476.228028523,"80310068143",32,"Hampden"
-104.87772493,39.797389,"Softball","Northfield Athletic Complex","A","BF-A",70408.7294384784,"80310041061",60,"Stapleton"
-104.87782381,39.65901955,"Softball","Hampden Heights Park","C","BF-C",31384.3179028498,"80310068141",32,"Hampden"
-104.87785032,39.65833618,"Mixed-use","Hampden Heights Park","B","MU-TURF",53948.871613179,"80310068141",32,"Hampden"
-104.87830489,39.65863497,"Softball","Hampden Heights Park","C","BF-C",31384.3524965297,"80310068141",32,"Hampden"
-104.87971208,39.79641151,"Mixed-use","Northfield Athletic Complex","A","MU-SYN",78960.5292113621,"80310041061",60,"Stapleton"
-104.8801899,39.7615329,"Mixed-use","Central Park","C","MU-TURF",36056.1205503467,"80310041061",60,"Stapleton"
-104.88141535,39.76068971,"Mixed-use","Central Park","C","MU-TURF",13555.9286129967,"80310041061",60,"Stapleton"
-104.88180989,39.76068235,"Mixed-use","Central Park","C","MU-TURF",13555.8805924467,"80310041061",60,"Stapleton"
-104.88184623,39.76116521,"Mixed-use","Central Park","C","MU-TURF",13555.9203936943,"80310041061",60,"Stapleton"
-104.8822028,39.76067292,"Mixed-use","Central Park","C","MU-TURF",13555.9230291596,"80310041061",60,"Stapleton"
-104.88226574,39.76114305,"Mixed-use","Central Park","C","MU-TURF",13555.9306841673,"80310041061",60,"Stapleton"
-104.88258459,39.76066841,"Mixed-use","Central Park","C","MU-TURF",13555.9121756651,"80310041061",60,"Stapleton"
-104.88548057,39.73655715,"Soccer","New Freedom Park","C","MU-SYN",9665.53644895385,"80310044043",24,"East Colfax"
-104.8854874,39.71916729,"Soccer","Lowry Sports Complex","A","MU-SYN",85226.7362869928,"80310044052",42,"Lowry Field"
-104.88662116,39.71858383,"Soccer","Lowry Sports Complex","A","MU-SYN",84037.8163585126,"80310044052",42,"Lowry Field"
-104.88786284,39.71797387,"Soccer","Lowry Sports Complex","B","MU-TURF",75525.9033746049,"80310044052",42,"Lowry Field"
-104.88866406,39.71748862,"Soccer","Lowry Sports Complex","B","MU-TURF",75525.8822901679,"80310044052",42,"Lowry Field"
-104.88871399,39.71978145,"Football","Jackie Robinson Fields","A","",19089.8388199328,"80310044052",42,"Lowry Field"
-104.88885697,39.71979176,"Softball","Jackie Robinson Fields","A","BF-A",90162.0862207267,"80310044052",42,"Lowry Field"
-104.88946013,39.71704041,"Soccer","Lowry Sports Complex","B","MU-TURF",75525.9154247816,"80310044052",42,"Lowry Field"
-104.88964636,39.71870865,"Football","Jackie Robinson Fields","A","",18833.9181090479,"80310044052",42,"Lowry Field"
-104.88965818,39.71881238,"Baseball","Jackie Robinson Fields","A","BF-A",60030.9811288409,"80310044052",42,"Lowry Field"
-104.89109784,39.73420248,"Mixed-use","Verbena Park","C","MU-TURF",25174.990591661,"80310044042",24,"East Colfax"
-104.89112775,39.71849781,"Softball","Jackie Robinson Fields","A","BF-A",94315.3830249838,"80310044052",42,"Lowry Field"
-104.89116083,39.7183758,"Football","Jackie Robinson Fields","A","",19433.3328803112,"80310044052",42,"Lowry Field"
-104.89132769,39.73516816,"Softball","Verbena Park","C","BF-C",31382.9043918881,"80310044042",24,"East Colfax"
-104.89455195,39.64015142,"Mixed-use","Rosamond Park","C","MU-TURF",35966.3052989929,"80310068094",33,"Hampden South"
-104.89483612,39.64090586,"Mixed-use","Rosamond Park","C","MU-TURF",35966.3092913902,"80310068094",33,"Hampden South"
-104.89560345,39.6398357,"Mixed-use","Rosamond Park","C","MU-TURF",29036.0550947485,"80310068094",33,"Hampden South"
-104.89598593,39.64056894,"Mixed-use","Rosamond Park","C","MU-TURF",53949.4155551872,"80310068094",33,"Hampden South"
-104.89608619,39.63980146,"Mixed-use","Rosamond Park","C","MU-TURF",29024.2364406418,"80310068094",33,"Hampden South"
-104.8992696,39.74513787,"Softball","McNichols Park","C","BF-C",31382.7189963863,"80310044033",24,"East Colfax"
-104.89927891,39.74426371,"Softball","McNichols Park","C","BF-C",28259.6401646441,"80310044033",24,"East Colfax"
-104.89928617,39.7442356,"Mixed-use","McNichols Park","C","",16183.8465973415,"80310044033",24,"East Colfax"
-104.89932832,39.74517323,"Mixed-use","McNichols Park","C","",25174.9598589303,"80310044033",24,"East Colfax"
-104.90130293,39.75336422,"Softball","Thomas (Fred) Park","B","BF-A",84865.6163841436,"80310041071",60,"Stapleton"
-104.90229469,39.75224953,"Mixed-use","Thomas (Fred) Park","B","MU-TURF",48551.2847015797,"80310041071",60,"Stapleton"
-104.90243824,39.75328206,"Mixed-use","Thomas (Fred) Park","C","MU-TURF",28771.0602463857,"80310041071",60,"Stapleton"
-104.90247296,39.75368627,"Mixed-use","Thomas (Fred) Park","C","MU-TURF",28771.0552861325,"80310041071",60,"Stapleton"
-104.9046472,39.69627807,"Mixed-use","Jacobs Park","C","MU-TURF",21579.1304898212,"80310050024",72,"Washington Virginia Vale"
-104.90590688,39.6648422,"Baseball","Bible (James A) Park","B","BF-B",108199.951923631,"80310068121",32,"Hampden"
-104.90630139,39.69655858,"Rugby","Jacobs Park","C","MU-TURF",69232.846402135,"80310050024",72,"Washington Virginia Vale"
-104.9068594,39.6651245,"Mixed-use","Bible (James A) Park","B","",28772.5889204255,"80310068121",32,"Hampden"
-104.90721103,39.76972822,"Softball","Martin Luther King Jr Park","C","BF-C",31382.3027190118,"80310041021",49,"Northeast Park Hill"
-104.90726746,39.65148099,"Mixed-use","Southmoor Park","C","MU-TURF",35966.1597244155,"80310068092",33,"Hampden South"
-104.90733492,39.66636096,"Softball","Bible (James A) Park","B","BF-B",70572.1768452451,"80310068121",32,"Hampden"
-104.90734944,39.66405695,"Mixed-use","Bible (James A) Park","B","MU-TURF",28772.6737349451,"80310068121",32,"Hampden"
-104.90736035,39.66543978,"Softball","Bible (James A) Park","B","BF-B",70572.1398071782,"80310068121",32,"Hampden"
-104.9074431,39.68619912,"Rugby","Cook Park","C","MU-TURF",83058.5491617617,"80310052002",69,"Virginia Village"
-104.90744317,39.76987064,"Mixed-use","Martin Luther King Jr Park","B","",79119.6724269965,"80310041021",49,"Northeast Park Hill"
-104.90745744,39.77005809,"Mixed-use","Martin Luther King Jr Park","C","",35963.4816555483,"80310041021",49,"Northeast Park Hill"
-104.90745764,39.76968548,"Mixed-use","Martin Luther King Jr Park","C","",35963.5811043756,"80310041021",49,"Northeast Park Hill"
-104.90751986,39.73013158,"Softball","Kittredge Park","C","BF-C",17602.8709302291,"80310043042",46,"Montclair"
-104.90758275,39.6644402,"Mixed-use","Bible (James A) Park","B","MU-TURF",44957.3099294623,"80310068121",32,"Hampden"
-104.9077239,39.65113925,"Mixed-use","Southmoor Park","C","MU-TURF",35966.1834955052,"80310068092",33,"Hampden South"
-104.90781048,39.66485839,"Mixed-use","Bible (James A) Park","B","",44957.2000920604,"80310068121",32,"Hampden"
-104.90830161,39.63983948,"Mixed-use","Eastmoor Park","C","MU-TURF",28773.0510764696,"80310068092",33,"Hampden South"
-104.90835142,39.65199446,"Softball","Southmoor Park","C","BF-C",31384.4090596008,"80310068092",33,"Hampden South"
-104.90847989,39.76972811,"Softball","Martin Luther King Jr Park","C","BF-C",31343.8446970642,"80310041021",49,"Northeast Park Hill"
-104.90854272,39.66544855,"Softball","Bible (James A) Park","B","BF-B",70572.2801356867,"80310068121",32,"Hampden"
-104.90924958,39.63986569,"Mixed-use","Eastmoor Park","C","MU-TURF",35966.4191197705,"80310068092",33,"Hampden South"
-104.90958681,39.68713335,"Mixed-use","Cook Park","C","MU-TURF",13486.9599516231,"80310052002",69,"Virginia Village"
-104.90959561,39.68679023,"Mixed-use","Cook Park","C","MU-TURF",13487.0056519261,"80310052002",69,"Virginia Village"
-104.91028938,39.68694895,"Mixed-use","Cook Park","C","MU-TURF",53948.1167242947,"80310052002",69,"Virginia Village"
-104.91074866,39.68787431,"Mixed-use","Cook Park","C","MU-TURF",53947.9148464532,"80310052002",69,"Virginia Village"
-104.91109754,39.68675978,"Softball","Cook Park","C","BF-C",31383.8600364002,"80310052002",69,"Virginia Village"
-104.91398659,39.71674332,"Mixed-use","Crestmoor Park","C","MU-TURF",53947.099900928,"80310043063",37,"Hilltop"
-104.91419791,39.69330428,"Volleyball","Garland Park","C","MU-TURF",178534.895443424,"80310050011",72,"Washington Virginia Vale"
-104.91492339,39.71445502,"Softball","Crestmoor Park","C","BF-C",31383.3756181774,"80310043063",37,"Hilltop"
-104.91525292,39.71460986,"Mixed-use","Crestmoor Park","C","",53947.1817432191,"80310043063",37,"Hilltop"
-104.91573756,39.71655252,"Mixed-use","Crestmoor Park","C","MU-TURF",28771.7349714141,"80310043063",37,"Hilltop"
-104.91591076,39.69462207,"Softball","Garland Park","A","BF-A",55900.8132526355,"80310050011",72,"Washington Virginia Vale"
-104.91613052,39.71633083,"Mixed-use","Crestmoor Park","C","MU-TURF",28771.7043985148,"80310043063",37,"Hilltop"
-104.91622922,39.69585389,"Baseball","Garland Park","A","BF-A",110988.660697574,"80310050011",72,"Washington Virginia Vale"
-104.91698435,39.7136188,"Softball","Crestmoor Park","C","BF-C",31383.3525490479,"80310043063",37,"Hilltop"
-104.91699106,39.71426022,"Softball","Crestmoor Park","C","BF-C",31193.6110882543,"80310043063",37,"Hilltop"
-104.91761667,39.69543181,"Volleyball","Garland Park","C","MU-TURF",170783.673263384,"80310050011",72,"Washington Virginia Vale"
-104.91842588,39.69686016,"Mixed-use","Garland Park","C","MU-TURF",35965.2248041765,"80310050011",72,"Washington Virginia Vale"
-104.91843786,39.69796802,"Mixed-use","Garland Park","C","MU-TURF",28772.0964254963,"80310050011",72,"Washington Virginia Vale"
-104.92007428,39.64537399,"Softball","Jefferson Square Park","C","BF-C",31575.7960305174,"80310040041",58,"Southmoor Park"
-104.92051689,39.64540955,"Mixed-use","Jefferson Square Park","C","",59344.3167518684,"80310040041",58,"Southmoor Park"
-104.92061564,39.76512687,"Softball","Skyland Park","C","BF-C",31382.2916269888,"80310041023",49,"Northeast Park Hill"
-104.92065076,39.76504619,"Mixed-use","Skyland Park","C","",28770.9403886722,"80310041023",49,"Northeast Park Hill"
-104.92119193,39.7650489,"Mixed-use","Skyland Park","C","",28770.9370693407,"80310041023",49,"Northeast Park Hill"
-104.92365492,39.68535974,"Mixed-use","Ash Grove Park","C","MU-TURF",62939.4603688588,"80310051023",69,"Virginia Village"
-104.92682663,39.72034175,"Mixed-use","Robinson Park","C","",35964.5567776373,"80310043031",37,"Hilltop"
-104.92736509,39.72043746,"Softball","Robinson Park","C","BF-C",31383.2600057382,"80310043031",37,"Hilltop"
-104.93219971,39.73416734,"Softball","Lindsley (Henry S) Park","C","BF-C",31382.8350770921,"80310043011",31,"Hale"
-104.93397231,39.65920391,"Softball","Eisenhower Park","C","BF-B",31384.2666035942,"80310040034",65,"University Hills"
-104.93473528,39.65936528,"Mixed-use","Eisenhower Park","C","",69234.3412228416,"80310040034",65,"University Hills"
-104.93550616,39.65914102,"Mixed-use","Eisenhower Park","C","",35965.9280406366,"80310040034",65,"University Hills"
-104.93555228,39.72005986,"Mixed-use","Cranmer Park","C","MU-TURF",28771.7472030414,"80310043032",37,"Hilltop"
-104.93575083,39.71877811,"Mixed-use","Cranmer Park","C","MU-TURF",53947.0949479444,"80310043032",37,"Hilltop"
-104.93575531,39.71822145,"Mixed-use","Cranmer Park","C","",53947.1043366743,"80310043032",37,"Hilltop"
-104.93584306,39.65914069,"Softball","Eisenhower Park","C","BF-B",31317.3667303977,"80310040034",65,"University Hills"
-104.93607525,39.72006607,"Mixed-use","Cranmer Park","C","MU-TURF",29112.0261415017,"80310043032",37,"Hilltop"
-104.93638279,39.65990024,"Mixed-use","Eisenhower Park","C","",28772.7525919206,"80310040034",65,"University Hills"
-104.9365093,39.65968998,"Softball","Eisenhower Park","C","BF-B",31339.0688301047,"80310040034",65,"University Hills"
-104.93658179,39.72006454,"Mixed-use","Cranmer Park","C","",28794.4223237738,"80310043032",37,"Hilltop"
-104.93661061,39.71847398,"Mixed-use","Cranmer Park","C","",40460.3969476114,"80310043032",37,"Hilltop"
-104.93663246,39.71968384,"Softball","Cranmer Park","C","BF-C",31195.5077739099,"80310043032",37,"Hilltop"
-104.9366475,39.71840067,"Softball","Cranmer Park","C","BF-C",31383.204264677,"80310043032",37,"Hilltop"
-104.93669038,39.72039022,"Softball","Cranmer Park","C","BF-C",31070.0766025049,"80310043032",37,"Hilltop"
-104.94006847,39.65381077,"Mixed-use","Magna Carta Park","C","MU-TURF",28772.7426684723,"80310040034",65,"University Hills"
-104.94160581,39.75015167,"Mixed-use","City Park","C","MU-TURF",57182.7529946792,"80310037011",14,"City Park"
-104.94268669,39.74983012,"Mixed-use","City Park","C","MU-TURF",64735.1571278779,"80310037011",14,"City Park"
-104.94270681,39.75040691,"Mixed-use","City Park","C","MU-TURF",64735.276770534,"80310037011",14,"City Park"
-104.94393315,39.74993279,"Mixed-use","City Park","C","MU-TURF",57182.6840759655,"80310037011",14,"City Park"
-104.9444611,39.75020446,"Baseball","City Park","C","BF-C",70513.6306106971,"80310037011",14,"City Park"
-104.94689482,39.76660726,"Softball","City of Nairobi Park","C","BF-C",17602.5536240022,"80310036023",17,"Clayton"
-104.95058835,39.66795756,"Softball","McWilliams Park","C","BF-C",31384.173425405,"80310040063",66,"University Park"
-104.95065382,39.66797251,"Mixed-use","McWilliams Park","C","",28772.6179049228,"80310040063",66,"University Park"
-104.95269902,39.67534273,"Rugby","Observatory Park","C","",53948.3584803875,"80310040062",66,"University Park"
-104.95297387,39.67774379,"Volleyball","Observatory Park","C","MU-TURF",23271.4340248353,"80310040062",66,"University Park"
-104.95307288,39.74515141,"Mixed-use","City Park","B","MU-TURF",35964.0312287573,"80310037011",14,"City Park"
-104.95339071,39.67520251,"Softball","Observatory Park","C","BF-C",31076.7075150948,"80310040062",66,"University Park"
-104.9537461,39.74513706,"Mixed-use","City Park","B","MU-TURF",48551.4589803837,"80310037011",14,"City Park"
-104.95438107,39.74513009,"Mixed-use","City Park","B","MU-TURF",25174.8634952036,"80310037011",14,"City Park"
-104.95478337,39.77807077,"Mixed-use","Dunham Park","C","MU-TURF",20389.123816917,"80310035005",25,"Elyria Swansea"
-104.95487113,39.76864995,"Baseball","Schafer (Martin J) Park","B","BF-C",70512.8157674546,"80310036021",17,"Clayton"
-104.95536053,39.76891839,"Mixed-use","Schafer (Martin J) Park","C","",28636.722747136,"80310036021",17,"Clayton"
-104.95550055,39.78574521,"Mixed-use","Swansea Park","C","",35963.0517267684,"80310035002",25,"Elyria Swansea"
-104.95552388,39.76849731,"Softball","Schafer (Martin J) Park","C","BF-C",31382.2455988746,"80310036021",17,"Clayton"
-104.95588714,39.78542397,"Softball","Swansea Park","C","BF-C",31381.8869079986,"80310035002",25,"Elyria Swansea"
-104.95594782,39.72954267,"Mixed-use","Congress Park","B","MU-TURF",35964.4188979862,"80310033004",20,"Congress Park"
-104.95616506,39.74593035,"Mixed-use","City Park","B","MU-TURF",59340.6778672533,"80310037011",14,"City Park"
-104.95646797,39.78476177,"Softball","Swansea Park","C","BF-C",31381.977146069,"80310035003",25,"Elyria Swansea"
-104.95689122,39.73204739,"Soccer","Capitol Hill Reservoir","C","MU-TURF",69231.4989251386,"80310033004",20,"Congress Park"
-104.95726458,39.74579664,"Mixed-use","City Park","B","MU-TURF",28771.2746474473,"80310037011",14,"City Park"
-104.95749294,39.72956017,"Softball","Congress Park","C","BF-C",31383.0043053243,"80310033004",20,"Congress Park"
-104.95755036,39.73181973,"Soccer","Capitol Hill Reservoir","C","MU-TURF",13486.6530924882,"80310033004",20,"Congress Park"
-104.95779132,39.73236909,"Soccer","Capitol Hill Reservoir","C","MU-TURF",48551.8622312568,"80310033004",20,"Congress Park"
-104.95785669,39.73039784,"Baseball","Congress Park","B","BF-C",31382.9707167399,"80310033004",20,"Congress Park"
-104.95796914,39.73181708,"Soccer","Capitol Hill Reservoir","C","MU-TURF",13486.610927682,"80310033004",20,"Congress Park"
-104.95797472,39.72957251,"Mixed-use","Congress Park","B","",40459.9195249999,"80310033004",20,"Congress Park"
-104.95821285,39.73035364,"Mixed-use","Congress Park","C","",28771.4150223787,"80310033004",20,"Congress Park"
-104.95832872,39.73027232,"Softball","Congress Park","C","BF-C",31264.0722494524,"80310033004",20,"Congress Park"
-104.95840358,39.72959141,"Softball","Congress Park","C","BF-C",31292.6089429739,"80310033004",20,"Congress Park"
-104.9585565,39.73162001,"Soccer","Capitol Hill Reservoir","C","MU-TURF",13486.6099540723,"80310033004",20,"Congress Park"
-104.95856815,39.73190222,"Soccer","Capitol Hill Reservoir","C","MU-TURF",13486.6599042131,"80310033004",20,"Congress Park"
-104.96202852,39.68650841,"Mixed-use","Veterans Park","B","MU-TURF",69233.3258450363,"80310034023",70,"Washington Park"
-104.96329902,39.68630211,"Softball","Veterans Park","B","BF-B",31383.7889975346,"80310034023",70,"Washington Park"
-104.96420377,39.78458912,"Softball","Elyria Park","C","BF-C",11828.7806576082,"80310035001",25,"Elyria Swansea"
-104.96451274,39.68668021,"Softball","Veterans Park","A","BF-A",58437.7216868871,"80310034023",70,"Washington Park"
-104.97033377,39.69593993,"Volleyball","Washington Park","C","MU-TURF",28332.2660541429,"80310034021",70,"Washington Park"
-104.97092069,39.76976436,"Softball","St Charles Pl","C","BF-C",9522.94274426416,"80310036011",18,"Cole"
-104.97154663,39.7011977,"Volleyball","Washington Park","C","MU-TURF",69232.846854422,"80310034021",70,"Washington Park"
-104.97170494,39.69981266,"Volleyball","Washington Park","C","MU-TURF",69233.0031658704,"80310034021",70,"Washington Park"
-104.97255053,39.79136526,"Mixed-use","Northside Park","C","MU-TURF",40458.3936628256,"80310015001",29,"Globeville"
-104.9729308,39.69427127,"Volleyball","Washington Park","C","MU-TURF",23682.508297761,"80310034021",70,"Washington Park"
-104.97683207,39.76041025,"Mixed-use","Mestizo-Curtis Park","C","MU-TURF",62936.4698722356,"80310016001",26,"Five Points"
-104.9786065,39.67564772,"Mixed-use","Harvard Gulch North","B","MU-TURF",53948.4292266909,"80310030021",53,"Rosedale"
-104.97875754,39.67636813,"Mixed-use","Harvard Gulch North","B","MU-TURF",35965.5742994513,"80310030021",53,"Rosedale"
-104.9793614,39.67427167,"Volleyball","Harvard Gulch Park","C","MU-TURF",46925.1135748388,"80310030022",53,"Rosedale"
-104.97993005,39.67578296,"Football","Harvard Gulch North","B","MU-TURF",53948.4412655856,"80310030021",53,"Rosedale"
-104.98128662,39.6727714,"Softball","Harvard Gulch Park","C","BF-C",49027.110876904,"80310030022",53,"Rosedale"
-104.9814103,39.67335048,"Mixed-use","Harvard Gulch Park","C","",35965.7335652139,"80310030022",53,"Rosedale"
-104.98178355,39.67362302,"Softball","Harvard Gulch Park","C","BF-C",70571.8490506523,"80310030022",53,"Rosedale"
-104.98181789,39.78311684,"Mixed-use","Argo Park","C","MU-TURF",25010.6436657365,"80310015002",29,"Globeville"
-104.98216905,39.67383293,"Mixed-use","Harvard Gulch Park","C","",13487.043163744,"80310030022",53,"Rosedale"
-104.98241596,39.78431706,"Baseball","Argo Park","A","BF-A",58820.7284076102,"80310015002",29,"Globeville"
-104.98248218,39.74816455,"Mixed-use","Benedict Fountain Park","C","MU-TURF",13486.5426136974,"80310024032",26,"Five Points"
-104.98285092,39.75177996,"Softball","Lawson (Sonny) Park","A","BF-A",59380.4274531947,"80310024033",26,"Five Points"
-104.98378235,39.78417167,"Mixed-use","Argo Park","C","MU-TURF",35963.2216503558,"80310015002",29,"Globeville"
-104.99342849,39.73134688,"Mixed-use","Sunken Gardens Park","C","MU-TURF",28771.4983940102,"80310018002",41,"Lincoln Park"
-104.99532472,39.70054568,"Softball","Vanderbilt Park","A","BF-A",74747.5616386,"80310013022",1,"Athmar Park"
-104.99582211,39.70123213,"Softball","Vanderbilt Park","A","BF-A",79958.0765975208,"80310013022",1,"Athmar Park"
-104.99961663,39.76254429,"Baseball","City of Cuernavaca Park","C","BF-C",31382.3234213385,"80310011021",36,"Highland"
-105.00082276,39.7621175,"Mixed-use","City of Cuernavaca Park","C","MU-TURF",44954.6470352155,"80310011021",36,"Highland"
-105.00172092,39.76184092,"Mixed-use","City of Cuernavaca Park","C","MU-TURF",44954.6292704896,"80310011021",36,"Highland"
-105.00199945,39.70449787,"Softball","Aspgren Park","C","BF-C",31383.4766528602,"80310013021",1,"Athmar Park"
-105.00229583,39.68552141,"Softball","Ruby Hill Park","A","BF-A",63778.8854873965,"80310014021",54,"Ruby Hill"
-105.00235421,39.77280575,"Softball","Ciancio Park","C","BF-C",31382.1520940693,"80310011011",62,"Sunnyside"
-105.00244914,39.7725498,"Mixed-use","Ciancio Park","C","",28770.8150451993,"80310011011",62,"Sunnyside"
-105.00247203,39.6846971,"Softball","Ruby Hill Park","A","BF-A",63204.1969418946,"80310014021",54,"Ruby Hill"
-105.00262312,39.71336683,"Softball","Valverde Park","A","BF-A",6641.21231086738,"80310010001",67,"Valverde"
-105.00267376,39.71387481,"Softball","Valverde Park","A","BF-A",13278.5410562565,"80310010001",67,"Valverde"
